Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Return","1M Return vs Nifty","% Away From 52W High","% Away From 52W Low","1Y Return","5Y CAGR","6M Return vs Nifty","Daily Volume","Face value","Close Price","1D Return","1W Return","1W Return vs Nifty","1D Change in Volume","1M Average Volume","1W Change in Volume","3M Average Volume"
Kotak It ETF,KOTAKIT,"Equity","27.800666394","-25.340854149439924","2.079661614381388","-8.034296602095896","-3.83266325937554","40.53867403314917","11.384615384615394","-24.70098803952158",,"-9.613105024350814","91913","0","28.96","-1.7639077340569864","-2.3271500843170245","-0.9692604056041694","129.58161608592482","110470.16666666667","12.637100035538781","806724.9538461538"
Dhanlaxmi Cotex Ltd,DHANCOT,,"27.766695","-69.49750101232937","-35.53178847296495","-1.3636363636363635","2.837996979083993","290.13824884792626","12.435233160621761","-68.85763490241102","24.688226407649406","-47.22455511169715","3","10","54.25","-4.824561403508772","-11.138411138411135","-9.78052145969828",,"37.72727272727273","0","42.59574468085106"
Alacrity Securities Ltd,ALSL,"Investment Banking & Brokerage","27.74128","33.76873604061928","56.25","25","29.201633342720356","25.439999999999998","56.25","34.408602150537625","6.207125806326297","44.5572333612678","0","10","12.5","0","-5.015197568389059","-3.657307889676204","-100","17523.809523809523","-100","16615.384615384617"
Spenta International Ltd,SPENTA,"Apparel & Accessories","27.65708163","16.440512140672677","26.743442098528458","-23.690292758089377","-19.48865941536902","52.44825845532559","45.983787767133386","17.08037825059102","-14.790272347787326","15.050675459796256","1139","10","99.05","-0.9995002498750625","-4.759615384615388","-3.4017257059025328","-2.3156089193825045","971.875","132.44897959183675","973.53125"
N G Industries Ltd,NGIND,"Hospitals & Diagnostic Centres","27.641625","20.852671203514497","17.800289435600597","1.4330218068535896","5.634655149573946","21.498771498771507","40.3448275862069","21.49253731343284","-1.5471377600363323","6.107522796868395","2260","10","81.4","-1.3333333333333264","-2.3395320935812705","-0.9816424148684153","908.9285714285714","1214.2916666666667","366.94214876033055","1846.1538461538462"
Odyssey Corporation Ltd,ODYCORP,,"27.57594","-56.70335817341041","24.014336917562723","-7.3627844712182045","-3.161151128497848","176.3005780346821","53.77777777777777","-56.06349206349206","18.27337265556799","12.32157027883052","10315","5","6.92","-1.142857142857144","0.4354136429608164","1.7933033216736716","304.19278996865205","17062.625","-34.18198060234813","15227.661538461538"
Mudunuru Ltd,MUDUNURU,"0","27.5141895","28.334483801251636","27.18832891246684","0","2.667133787260433","0","66.78260869565219","33.19444444444444","-10.923222083243921","11.664000333012092","0","2","9.59","0","0","-1.015010047406005","-100","16.25","-100","676.1111111111111"
Bodhtree Consulting Ltd,BODHTREE,"IT Services & Consulting","27.502449207999998","-65.54599877575065","-36.41723356009071","-23.596730245231615","-19.39509690251126","206.7047075606277","10.830039525691703","-64.9061326658323","-29.314420564841548","-48.11000019882291","11676","10","14.02","1.7416545718432528","3.4686346863468547","4.82652436505971","-46.85722088207182","57450.375","-61.84313725490196","31432.492307692308"
Silgo Retail Ltd,SILGO,"Precious Metals, Jewellery & Watches","27.4209","-26.75718454567253","-4.339963833634718","12.076271186440668","16.277904529161024","57.277882797731586","17.555555555555546","-26.117318435754186",,"-16.03273047236692","13512","10","26.45","-0.9363295880149813","-2.03703703703704","-0.6791473583241847","-57.81586587992882","84134.91666666667","-94.21785737210347","51167.03076923077"
Sunil Industries Ltd,SUNILTX,,"27.384","326.8177610087257","75.87168758716874","-8.023340627279358","-3.821707284559002","31.720856463124502","307.2997416020671","327.45762711864404","13.013883009450321","64.17892094843654","0","10","63.05","0","-3.2975460122699474","-1.9396563335570922",,"242.85714285714286",,"380"
Asian Tea & Exports Ltd,ASIANTNE,,"27.36","-36.42185663124536","-5.112044817927162","-6.422651933701656","-2.2210185909812994","87.08487084870849","27.110694183864915","-35.78199052132702","-1.0023498385165364","-16.804811456659365","13376","10","13.55","-0.9502923976608114","-3.214285714285709","-1.856396035572854","1.7650639074863055","23024.541666666668","-58.063707047905694","24675.707692307693"
Choksi Laboratories Ltd,CHOKSILA,,"27.338657275","68.36225703233217","23.794712286158628","10.709318497913753","14.910951840634109","13.442211055276388","82.15102974828372","69.00212314225051","6.795189119508449","12.101945647426426","155","10","39.8","1.4012738853503113","-6.02125147579694","-4.663361797084085","-98.82735663489181","10988.166666666666","-98.29520457545095","9356.861538461539"
Unick Fix-A-Form and Printers Ltd,UNICK,"Packaging","27.123325","-3.2039686740209152","45.29411764705882","-4.077669902912624","0.12396343980773228","19.534412955465584","56.82539682539682","-2.5641025641025723",,"33.60135100832662","3011","10","49.4","-0.10111223458039284","0.20283975659229497","1.5607294353051502","60120","4668.04347826087","1154.5833333333333","3364.0344827586205"
Mohit Paper Mills Ltd,MOHITPPR,"Paper Products","27.09","46.28321081315859","25.823451910408444","-0.2610966057441105","3.9405367369762456","72.25130890052354","85.97857838364169","46.923076923076934","2.0111573472632704","14.130685271676242","664","10","19.1","-1.2919896640826873","-4.020100502512549","-2.662210823799694","-73.57739753282928","5434.333333333333","320.253164556962","5880.261538461538"
7Seas Entertainment Ltd,7SEASL,,"27.0175815","-33.45839892845117","-8.421052631578954","-5.177111716621268","-0.9754783739009119","69.54022988505749","9.779179810725536","-32.81853281853282",,"-20.113819270311154","11420","10","17.4","-2.5210084033613605","-5.434782608695652","-4.076892929982797","184.00895299676696","11888.916666666666","318.9288334556126","8028.2"
Apex Capital and Finance Ltd,ACFL,"Consumer Finance","26.995099680000003","-0.6398661099183431","0","0","4.201633342720356","0","0","0",,"-11.692766638732202","0","10","45.6","0","0","1.3578896787128552",,"0.6666666666666666",,"0.6666666666666666"
Axis Healthcare ETF,AXISHCETF,"Equity","26.973934176","-8.853745518336998","5.024733142410849","-2.9938679812432305","1.2077653614771258","25.185919682697055","22.242424242424264","-8.213879408418656",,"-6.668033496321353","2283","0","80.68","-0.9696820915674383","0.4607147304196296","1.818604409132485","-23.312059119919383","8736.708333333334","-53.474628082331364","8984.753846153846"
HDFC Nifty IT ETF,HDFCNIFIT,"Equity","26.947385721","-0.6398661099183431",,"-6.647284260605261","-2.4456509178849046","27.9622027180068","1.3486370157819172",,,"-11.692766638732202","6384","0","282.56","-0.8561403508771922","-1.8241200792189292","-0.466230400506074","1344.343891402715","1307.4166666666667","885.1851851851852",
Accedere Ltd,ECOM,"IT Services & Consulting","26.945256","69.67759420754197","68.18181818181819","11.77083333333333","15.972466676053687","45.85274930102516","106.74373795761079","70.31746031746032","50.277629995878925","56.489051543085985","681","10","53.65","0.09328358208954693","-5.711775043936731","-4.353885365223876","34.851485148514854","930.4782608695652","-58.195211786372006","1956.5806451612902"
OCL Iron and Steel Ltd,OISL,"Iron & Steel","26.882317810000004","-0.6398661099183431","0","0","4.201633342720356",,,"0","-17.86782839348553","-11.692766638732202","26878","1","1.85","0","0","1.3578896787128552","0","26878","0","26878"
Vivid Mercantile Ltd,VIVIDM,"Commodities Trading","26.7684588","-24.260799631841966","-41.49512459371614","-10","-5.798366657279644","215","10.655737704918034","-23.62093352192362",,"-53.187891232448344","3755","10","27","1.1235955056179803","0.3717472118959161","1.7296368906087713","3376.8518518518517","945.75","37450","1494.676923076923"
Synthiko Foils Ltd,SYNTHFO,"Metals - Aluminium","26.7612","159.04599776442726","431.4285714285715","-47.09333333333333","-42.89169999061297","163.9112903225806","459.3984962406015","159.68586387434559","28.75597331974351","419.7358047898393","1151","5","148.8","-3.250975292587776","3.729522481700957","5.0874121604138125","-6.4227642276422765","3589.2083333333335","4.636363636363637","5803.169230769231"
Elnet Technologies Ltd,ELNET,"IT Services & Consulting","26.740046795","15.688962718910487","47.99426934097421","28.044623489308957","32.24625683202932","6.001936108422079","65.28","16.32882882882883","1.802087659423135","36.30150270224201","13830","10","206.6","4.8730964467005045","-2.6848798869524337","-1.3269902082395786","16.120906801007557","9967.291666666666","-74.64153434302688","5054.2307692307695"
Sanghvi Brands Ltd,SBRANDS,"Wellness Services","26.7167322","89.58569779985609","64.28571428571428","-26.666666666666664","-22.465033323946308","48.221343873517775","122.90748898678414","90.22556390977444","-31.841752558437786","52.592947646982076","11000","10","25.3","-1.3645224171539878","-13.94557823129251","-12.587688552579655","-52.17391304347826","7956.521739130435","450","9000"
A F Enterprises Ltd,AFEL,"Investment Banking & Brokerage","26.67477204","-67.48151090431905","-75.18009168303863","46.67182662538699","50.87345996810735","632.981530343008","142.0178799489144","-66.84164479440071","24.75798010519268","-86.87285832177082","78466","10","18.95","0.2645502645502683","-6.512086827824373","-5.154197149111518","-31.731890236475316","234875.16666666666","-73.88896838364242","247328.8"
Swasti Vinayaka Art and Heritage Corporation Ltd,SVARTCORP,"Real Estate","26.55","-20.910136380188614","-21.95767195767195","0","4.201633342720356","49.152542372881356","40.47619047619049","-20.27027027027027","-5.908063907483574","-33.65043859640415","114651","1","2.95","0","0.6825938566552907","2.040483535368146","82.58273083415612","146237.25","-0.43680636365215275","126189.0923076923"
Hisar Spinning Mills Ltd,HISARSP,"Textiles","26.462475","88.54932307927085","95.8041958041958","-12.5","-8.298366657279644","23.50000000000001","148.6678507992895","89.1891891891892","36.24609991309702","84.11142916546359","100","10","70","-1.1997177134791734","3.6269430051813516","4.984832683894207","-75","385","0","656.3636363636364"
Tai Industries Ltd,TAIIND,,"26.43","43.03829480962189","50.86206896551724","-2.9933481152993378","1.2082852274210185","64.57142857142857","66.34980988593155","43.67816091954023","19.975640715683205","39.169302326785036","4189","10","43.75","-0.6810442678774056","-5.200433369447451","-3.842543690734596","60.12996941896024","3793.2916666666665","-40.674125477977626","5659.523076923077"
