Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142464.18818835","115.65","3.547951301114239"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","139054.44975541002","382","-12.153547555988037"
Coal India Ltd,COALINDIA,"Mining - Coal","134439.918453505","214.25","7.745082610049771"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130981.470679725","611.65","98.71015854621216"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127994.7585995","2522.3","105.99453327329505"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","126861.19232436","1269.05","84.23773884578264"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","126007.38104976","4197.6","54.86214779247644"
Vedanta Ltd,VEDL,"Metals - Diversified","115479.21347742","309.65","6.141857966036592"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","111698.99560953","80.05","4.449763850045587"
Grasim Industries Ltd,GRASIM,"Cement","111566.07137088","1680.6","14.777393695032156"
Adani Power Ltd,ADANIPOWER,"Power Generation","111369.111921375","283.4","22.674803611337904"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","104300.71365089","462.65","7.596555983313183"
Ambuja Cements Ltd,AMBUJACEM,"Cement","104196.733391775","519.8","37.4757167695693"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","103891.31343072","4359.05","68.13349341608841"
Siemens Ltd,SIEMENS,"Conglomerates","103103.9362276","2891.7","66.82476908911785"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","102463.10369217","3642.25","16.61778527477387"
Dabur India Ltd,DABUR,"FMCG - Personal Products","101477.7524006","552.85","58.3467027751521"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","98512.345756945","986.15","17.69863023606205"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","95178.920904495","183.25","12.125182128784065"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","94278.83812474","1181.9","19.620822745438137"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","93730.0258947","917.45","52.55722298246598"
DLF Ltd,DLF,"Real Estate","92267.24384115","369.75","61.476249511047016"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","91901.2403673","3434.9","31.04299696576533"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89083.6699044","3250.6","53.133526126923535"
Cipla Ltd,CIPLA,"Pharmaceuticals","87844.99134928001","1076.35","34.904138809687126"
Shree Cement Ltd,SHREECEM,"Cement","87452.5170024","23853.05","37.50204422172097"
Varun Beverages Ltd,VBL,"Soft Drinks","85016.3020137","1300.9","122.49128607569935"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","83988.108375","2500.4","16.532962018999847"
Interglobe Aviation Ltd,INDIGO,"Airlines","78542.41542894","2020","-12.746605380047818"
Adani Wilmar Ltd,AWL,"FMCG - Foods","74595.053533975","568.35","92.81108523257188"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","74264.36769084001","344.7","6.357434207151489"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","73722.054335745","774.2","45.616131235997514"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","73115.05437038","1192.5","61.108974207777905"
Bharat Electronics Ltd,BEL,"Electronic Equipments","73061.23939585501","98.95","30.456523027865195"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","71370.7647705","4271.75","32.70138133814435"
