Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding Change – 3M","Promoter Holding","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Insider Trades - 6M Cumulative","Mutual Fund Holding","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Atishay Ltd,ATISHAY,"Outsourced services","36.56783889","0.45531812941106864","74.98848272791655","11.411811298318701","0","2551","0",,"0",,,"0","0","0","0","0","0","0","0.45531812941106864","0",,,
Envair Electrodyne Ltd,ENVAIREL,,"36.4936","0","53.22176724137931","14.146185344827586","0","2604","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Impex Ferro Tech Ltd,IMPEXFERRO,"Iron & Steel","36.49161566","0","69.10467139892046","18.260345847893326","69.10467139892046","18992","0",,"0",,,"0","0.00045489901446583417","0.00045489901446583417","0.00045489901446583417","0","0","0","0","0",,,
Lerthai Finance Ltd,LERTHAI,"Diversified Financials","36.176","0","75","7.065857142857143","0","334","0",,"0",,,"0","0","0","16.10457142857143","0","0","0","0","0",,,
Aditya Spinners Ltd,ADITYASP,,"36.16031808","0","66.36828345067478","27.69648778487736","0","46188","0",,"0.5273316445340295",,,"0","0","0","0","0","0","0.5280484523879498","0","0",,,
Vikas Proppant & Granite Ltd,VIKASPROP,"Agro Products","36.02725","0","22.055724486326323","42.52225967843785","0","94295","0",,"0",,,"0","0","0","0","-0.00022344197794724825","0","0","0","0",,,
Gold Line International Finvest Ltd,GOLDLINE,"Diversified Financials","35.946585","0","6.360811186931943","30.02330502049082","0","16670","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Bhaskar Agro Chemicals Ltd,BHASKAGR,,"35.9464677","0","62.202347075120265","31.749606930085093","0","3858","0",,"0",,,"0","0","0","0","0","0","0.003839042020810295","0","0",,,
Intec Capital Ltd,INTECCAP,"Specialized Finance","35.90601875","-0.022432450826926242","74.56337575716327","1.9178112026134893","0","1330","0",,"0",,,"0","0","0","0","0","0","0","-0.0880310351868161","0",,,
Tyroon Tea Co Ltd,TYROON,,"35.892155","0","67.22059904176831","14.982069898004175","0","3164","0",,"0.014696804914611563",,,"0","0","0","0","0","0","0.08524146850474706","0","0",,,
VAMA Industries Ltd,VAMA,"Technology Hardware","35.88482","0","42.942196421773886","41.724674533688614","12.882660829843928","21036","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Heads UP Ventures Limited,HEADSUP,"Textiles","35.884239625","0","33.169273612551855","39.509398549781864","0","23471","0",,"0",,,"0","0.00009056900839932158","0.00009056900839932158","0.42180704281817427","0","0","0","0","0","3.13365146301327","3.13365146301327","0"
Nam Securities Ltd,NAM,"Investment Banking & Brokerage","35.8568","0","75","8.356491097922849","0","678","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Jagan Lamps Ltd,JAGANLAM,,"35.7728567","-0.15991789773520537","57.01253874724232","33.3655365969449","0","5824","0","1.9393122144124757","0","1.9393122144124757","0","0","0","0","0","0","0","0","-0.1598341199139881","0",,,
Shree Krishna Paper Mills & Industries Ltd,SKPMIL,"Paper Products","35.7648436","0","42.233509445571855","3.2861744990267483","35.64941634471456","1428","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Sharda Ispat Ltd,SHRDAIS,"Iron & Steel","35.740672","0","75","14.614166404034037","0","3561","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Milton Industries Ltd,MILTON,"Wood Products","35.6895","0","72.96095910561931","7.1715210355987065","0","288","0",,"0",,,"0","0","0","0","0","0","0","0.5436893203883528","0",,,
Asahi Industries Ltd,ASAHIIND,"Textiles","35.54676532","0","48.50185465483023","2.8617654541625672","0","9952","0",,"0.011287946916909514",,,"0",,"0","0",,"0","0.01143845287580164",,,,,
Emerald Leisures Ltd,EMERALL,"Wellness Services","35.54402","0","69.06975350565298","12.503036235068516","23.408173864408134","2541","0",,"0",,,"0","0","0","0","0","0","0.17078822260397108","0","0",,,
Nivaka Fashions Ltd,NIVAKA,,"35.53074","0","24.493917616126204","4.239686434901159","0","2295","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Archidply Decor Ltd,ADL,"Wood Products","35.512675","0","72.96472490455872","16.03690096564114","0","7322","0",,"0",,,"0","0.0001796541657309679","0.0001796541657309679","0.0001796541657309679","0","0","0","0","0",,,
ICL Organic Dairy Products Ltd,ICLORGANIC,,"35.5081501464452",,"47.99303396906475","16.49615375387224","0","215",,,"0",,,"0","0",,"0","0",,"0","0","0",,,
Hindustan Hardy Ltd,HINDHARD,,"35.36342","0","66.16130001001035","21.257299209182822","0","3169","0",,"0",,,"0","0","0","0","0","0","0.0033367813407187423","0.050051720110786846","0",,,
DSP Liquid ETF,LIQUIDETF,"Debt","35.335546641",,,,,,,,,,,,,,,,,,,,,,
TGB Banquets and Hotels Ltd,TGBHOTELS,"Hotels, Resorts & Cruise Lines","35.290112","0","31.710401414991257","21.98781687062937","9.978693181818182","9722","0",,"0",,,"0","0","0","0","0.00034145541958041956","0.00034145541958041956","0.00034145541958041956","0","0",,,
Orient Beverages Ltd,ORIBEVER,"Soft Drinks","35.2864875","0","55.157483229238956","30.482211427249595","0","3922","0",,"0",,,"0","0","0","0","0","0","1.0432569974554706","0","0","-2.559241267638214","-0.023502197547999093","0"
Prithvi Exchange (India) Ltd,PRITHVIEXCH,"Investment Banking & Brokerage","35.18475725","0","71.94707654264121","11.35404532313492","0","4636","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Keerti Knowledge and Skills Ltd,KEERTI,"Education Services","35.10144261","0","60.11611626465856","9.255205907333504","0","2021","0",,"0",,,"0","0","0","0","0","0","0","-0.02677371441514964","0","0.42138175528393207","0","0"
Caprolactam Chemicals Ltd,CAPRO,,"34.891","2.1154130434782488","52.37349999999999","43.57745652173913","0","7928","0",,"0",,,"0","0","0","0","0","0","0","2.1154130434782488","0","1.0839565217391305","0","0"
Ultra Wiring Connectivity System Ltd,UWCSL,"Auto Parts","34.889943555",,"73.55640962715798","16.296500999025476","0","134",,,"0",,,"0","0",,"0","0",,"0","0","0",,,
Ashiana Ispat Ltd,ASHIS,"Iron & Steel","34.846","0","41.59128917235837","24.391849136199276","0","10444","0",,"0",,,"0","0","0","0","0","0","0","0","0","-2.124296906388108","-2.124296906388108","-2.124296906388108"
Ashok Alco-Chem Ltd,ASHOKALC,"Commodity Chemicals","34.77859308","0","54.807152423199746","19.79630649279847","0","4445","0",,"0.002173750957265578",,,"0","0","0","0","0","0","0.002173750957265578","0","0","0","0","0"
Megri Soft Ltd,MEGRISOFT,"IT Services & Consulting","34.673328","0","74.98965198841022","13.227497054796702","0","733","0",,"0",,,"0","0","0","0","0","0","0","0.9615690769573462","0",,,
Anuroop Packaging Ltd,ANUROOP,,"34.65475","0","49.94373065741349","9.70880615211479","0","164","0",,"0",,,"0","0","0","0","0","0","0","0","0","-1.5670311428890575","0","0"
HCKK Ventures Ltd,HCKKVENTURE,"Real Estate","34.6143","0","50.32121293800539","22.08121293800539","0","2636","0","-5.390835579514826","0","-3.520215633423182","0","0","0","0","0","0","0","0","-16.380431266846358","0","5.8555525606469","0.6674932614555259","0.2368463611859839"
Krypton Industries Ltd,KRYPTONQ,"Tires & Rubber","34.61174115","-0.12667098950611688","26.625824225546076","20.7295574033842","0","9810","0",,"0.01905133859467801",,,"0","0","0","0","0.17534035556601868","0.17534035556601868","0.1950720991105066","-0.24072727124275062","0",,,
MFL India Ltd,MFLINDIA,,"34.588032","0","0.4198266961242547","86.50153542126941","0","165756","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Taylormade Renewables Ltd,TRL,"Renewable Energy Equipment & Services","34.58346496",,"62.693529711604704","4.7990564332394765","54.28349629429382","114",,,"0",,,"0","0",,"0","0",,"0","2.483498981358295","0","-9.160447062387123","-9.160447062387123","0"
Raaj Medisafe India Ltd,RAAJMEDI,"Health Care Equipment & Supplies","34.508165860000005","0","73.44953359106174","21.577717329888827","0","8546","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Ambo Agritec Ltd,AMBOAGRI,,"34.4802372",,"63.80263880551262","29.385343091549267","0","758",,,"0",,,"0",,,"0.04257511314336318",,,"0",,,"36.6220716648165","36.6220716648165","-2.2888794790510296"
E-Land Apparel Ltd,ELAND,"Apparel & Accessories","34.457156742","0","65.84243633876552","14.832907759246947","0","12416","0",,"0",,,"0","0","0","0","0","0","1.2387376335080202","0","0",,,
Sanrhea Technical Textiles Ltd,SANTETX,,"34.443","0","66.88953488372093","23.04027906976744","0","3110","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Futuristic Solutions Ltd,FUTSOL,"Diversified Financials","34.405273395","0","68.49383970721387","0.6066102210666651","0","390","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Gujarat Poly Electronics Ltd,GUJARATPOLY,,"34.2855","-0.8488888888888866","58.0633216374269","31.34107602339181","0","22894","0","-4.613169590643275","0","-3.651894736842105","0","0","0","0","0","0","0","0.017076023391812866","-1.181801169590642","0",,,
Laffans Petrochemicals Ltd,LAFFANSQ,,"34.28","2.9311375000000055","58.3008875","21.785587500000002","0","3984","0",,"0.12875",,,"0","0","0","0","0","0","0.12875","2.9562000000000026","0",,,
Omfurn India Ltd,OMFURN,"Home Furnishing","34.26436",,"73.3998825601879","10.055783910745744","0","164",,,"0",,,"0","0",,"0","0",,"0","0","0","-0.6165590135055784","-1.2331180270111568","-1.2331180270111568"
