Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Hist Op. Cash Flow Growth","5Y Historical Revenue Growth","3Y Historical Dividend Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth"
Jay Ushin Ltd,JAYUSH,"Auto Parts","293.702",,,"398.500000000005","24.139462521117693",,"31.526648599819488","7.195694318255175",,"94.48818897637796","-3.6060985296266668","0",,"13.478209238807759"
High Energy Batteries (India) Ltd,HIGHENE,"Aerospace & Defense Equipments","292.7590144",,,"-2.0731042007637486",,,"-1.9186238835593725","30.98442910902022",,"74.025974025974","10.983995625691168",,,"2.28351507376523"
Ador Fontech Ltd,ADORFO,"Industrial Machinery","292.25",,,"113.04780876494016","24.328428985704974",,"68.75631951466124","18.376740765065392","77.41296291017366","121.5811965811966","7.479589329205849","41.89834119703839",,"40.85016779627559"
Ambar Protein Industries Ltd,AMBARPIL,"Agro Products","292.215",,,"28.612716763004098","13.049486414929667",,"26.18135376755993","24.001063163465062",,"-330","11.657945412843196",,,"8.471173152309008"
Shree Ganesh Remedies Ltd,SGRL,"Pharmaceuticals","291.94356700500003",,,"37.47637314402202","30.015791562408502",,"36.6179275270184","36.469660935015625","49.45002848314437","305.4380664652568","29.784398547444813","-18.802190519105523",,"46.29665819816297"
Windsor Machines Ltd,WINDMACHIN,"Industrial Machinery","291.868441",,,"-79.24354243542463","-25.690081037551515",,"7.460212201591326","-5.160113775498731","7.248785077753284","-26.33722508824328","0.372535880915259","0",,"17.949124587668088"
West Leisure Resorts Ltd,WESTLEIRES,"Diversified Financials","291.54788344499997",,,"-349.99999999999994",,,"-293.75",,,"-25.000000000000004","-5.591248870509801","0",,"-55.00000000000001"
Ajanta Soya Ltd,AJANTSOY,"Agro Products","289.738764",,,"67.76629570747316","41.673141935549054",,"19.80040825584088","31.682636567551302","3.8837902472904196","16.145354185832577","13.794782828099006",,,"43.79732276924062"
Star Paper Mills Ltd,STARPAPER,"Paper Products","289.61843625",,,"109.2465753424664","-9.491650357743797",,"63.04985337243438","-7.269481443669868","-13.650212138150508","-34.58304134548002","1.3316781196388794","11.868894208139679",,"43.52713497488266"
STEL Holdings Ltd,STEL,"Asset Management","289.56530445",,,"68.70669745958435","24.268386452979552",,"65.42056074766354","24.921501469586936",,"249.7425334706488","22.384381987726766",,,"63.56968215158925"
Dai Ichi Karkaria Ltd,DAICHI,"Specialty Chemicals","289.219453635",,,"-135.57616416732438",,,"-113.57084579820504",,,"85.51532033426183","-1.1709534031191682",,,"-44.30569216952486"
Artson Engineering Ltd,ARTSONEN,"Construction & Engineering","288.899",,,"11.443661971830933",,,"23.49102773246333","-6.546779431952121","58.713491739677636","-10.635619886721216","10.190085219965317",,,"13.911502100840334"
Brand Concepts Ltd,BCONCEPTS,"Retail - Department Stores","288.275472",,,"110.14263074484947","-21.60862582078171",,"4505.263157894769","5.947712272316963",,"2221.212121212121","6.753700634670956",,,"95.80324909747293"
JITF Infralogistics Ltd,JITFINFRA,"Shipbuilding","288.26706279",,,"4.558121019108145",,,"62.24040920716078","157.53102280662407",,"198.9632422243167","17.783086862513443",,,"32.68545582556377"
Dangee Dums Ltd,DANGEE,"FMCG - Foods","287.93325",,,"88.0394294337937",,,"1031.081081081078","7.496815020274972","31.73611945557573","235.15981735159818","3.1073997738407133",,,"43.846629560915275"
MIC Electronics Ltd,MICEL,"Electrical Components & Equipments","287.8802459",,,"154.6491663802323",,,"436.9127516778528","13.01082659540409",,"60.688195534921825","-27.629347862860655",,,"993.6170212765958"
Trigyn Technologies Ltd,TRIGYN,"IT Services & Consulting","287.38484556",,,"-37.16216216216227","-0.777255627252027",,"-27.979329255431406","0.12051060788675905","-0.5297325609104897","-43.95412615307903","8.951927877288401",,,"5.617067789405494"
Mirae Asset Nifty 50 ETF,MAN50ETF,"Equity","286.834962568",,,,,,,,,,,,,
Taneja Aerospace and Aviation Ltd,TANAA,"Aerospace & Defense Equipments","286.703464",,,"-11.594202898550833","50.971462045923154",,"-18.029490616622027","5.071423742682146","-2.9385737345003715","-29.145361577794013","-3.830964731973596",,,"-8.101120367710434"
Jaykay Enterprises Ltd,JAYKAY,"Investment Banking & Brokerage","286.21489289",,,"-42.68802059162503","51.88212546853559",,"-91.81957186544342","0.09372087684136332",,"-78.9980732177264","17.61186785595119",,,"-52.71045918367348"
SBEC Sugar Ltd,SBECSUG,"Sugar","285.2084718",,,"68.15389644149411",,,"94.12484700122435",,,"24.668099633329106","14.911716064922453",,,"6.862407439297402"
Indiabulls Enterprises Ltd,IEL,"Construction & Engineering","284.61359069499997",,,,,,,,,,,,,
Sinclairs Hotels Ltd,SINCLAIR,"Hotels, Resorts & Cruise Lines","282.903",,,"103.42857142857162","-5.201948899218212",,"46.45286686103017","-7.727898431181634","-16.147150044838156","152.87009063444106","-6.96346793177498","-5.896397111897144",,"48.35782195332756"
Phantom Digital Effects Ltd,PHANTOMFX,"Animation","282.6192",,,"6885.714285714355",,,"940.2777777777789",,,"436.5079365079365",,,,"212.72727272727278"
Osia Hyper Retail Ltd,OSIAHYPER,"Retail - Department Stores","282.50792405",,,"66.97312615965807","41.95572577466393",,"56.87967760506593","48.05856864523095",,"-487.02185792349724","44.07173923317278",,,"86.68917213528522"
Poddar Pigments Ltd,PODDARMENT,"Specialty Chemicals","282.38515",,,"-10.147991543340545","0.9487712653327485",,"-6.559332140727597","-0.29099683819023836",,"-113.15463917525773","-2.0683204572495284","-5.896397111897144",,"13.535598093364598"
Uday Jewellery Industries Ltd,UDAYJEW,"Precious Metals, Jewellery & Watches","282.320758",,,"-1.3793103448273156","20.931416244333366",,"3.372093023256014","31.626656141947418",,"-1617.857142857143","21.71396423382166",,,"29.73946197839441"
Prime Fresh Ltd,PRIMEFRESH,,"282.180717",,,"30.898450735595045","45.56961360997751",,"20.616113744075648","39.31221893054846",,"98.44559585492229","26.500153705553252",,,"18.01829268292685"
Amal Ltd,AMAL,"Commodity Chemicals","281.996",,,"-87.38636363636363","-37.79074555113171",,"-65.83999999999999","-18.561395356041167",,"-114.23113658070677","11.16926149198072",,,"38.313329121920404"
Ginni Filaments Ltd,GINNIFILA,"Textiles","281.78871385",,,"6.414563284605275","20.748513405573355",,"7.938984226035836","7.85022790818104",,"-101.0196905766526","7.244858632181694",,,"39.822545640240016"
Aries Agro Ltd,ARIES,"Fertilizers & Agro Chemicals","281.608961045",,,"-25.987757373400086","13.503535104616615",,"-11.327371558828672","3.778658966681969","7.577146964779735","21.68525402726145","12.73733456521664","-23.685717163111207",,"16.26437507898395"
Veljan Denison Ltd,VELJAN,"Industrial Machinery","281.25",,,"146.27737226277333","3.0598566457389564",,"101.07219442458882","3.425614539373556","-6.560506515742814","-51.69265880562952","4.646492380867873","9.139288306110593",,"33.085699124436196"
LGB Forge Ltd,LGBFORGE,"Industrial Machinery","281.07890634",,,"0.2906976744192987",,,"2.5465230166505877","27.72596513852974","-9.85572635745805","-43.037974683544306","8.457135995654784",,,"40.74512759771727"
Aban Offshore Ltd,ABAN,"Oil & Gas - Equipment & Services","281.029030245",,,"-10.369424039178122",,,"-31.965352190071297",,,"-163.87293452328356","-17.750017352942482",,,"-49.69094390254932"
Globus Power Generation Ltd,GLOBUSCON,"Power Generation","280.5189408",,,"92.09842643055136",,,"92.0779220779221",,,"-780.952380952381",,,,
Euro Panel Products Ltd,EUROBOND,"Metals - Aluminium","280.1575",,,"208.7893107381468","6.437792858347868",,"75.51020408163284","29.079549767866155",,"-319.1919191919191","22.78521865819638",,,"51.74098108994487"
Jay Shree Tea and Industries Ltd,JAYSREETEA,"Tea & Coffee","278.81214664000004",,,"23.85946512847478","9.466831594872227",,"-59.87702773417048","-15.95732075005013",,"-122.39716428983597","0.2709778861942791",,,"-7.7712021970810845"
Sintercom India Ltd,SINTERCOM,"Industrial Machinery","278.673381",,,"22.29463439565098",,,"33.55704697986573","-15.404936118811852",,"79.19320594479831","-1.8551763400685983",,,"26.043195638498617"
Eco Recycling Ltd,ECORECO,"Business Support Services","277.92",,,"184.56375838926152",,,"131.03448275862058",,,"-96.14035087719299","6.590015031757535",,,"46.96969696969695"
Goyal Aluminiums Ltd,GOYALALUM,,"277.47252432",,,"613.415123402964",,,"320.8333333333443",,,"114.90384615384615",,,,"49.456127628716494"
UCAL Fuel Systems Ltd,UCALFUEL,"Auto Parts","277.415425625",,,"20.85209560096961","-0.5524888623356761",,"30.251889168765643","-1.7909248334989414","-3.842380467632256","669.2454632282713","0.26783773096106245","-39.42931357226202",,"16.2004545389574"
