Name,Ticker,"Sub-Sector","Market Cap","Working Capital Turnover Ratio","Current Ratio","Net Income / Liabilities","Long Term Debt to Equity","Inventory Turnover Ratio","Earning Power","Debt to Equity","Days of Sales Outstanding","Days Payable Outstanding","Days of Inventory Outstanding","Cash Conversion Cycle","Asset Turnover Ratio","Quick Ratio","Interest Coverage Ratio"
Shamrock Industrial Company Ltd,SHAMROIN,"Pharmaceuticals","3.224477916","0.05291005291005291","45.5",,"0",,,"0","200.74999999999997",,,,"0.0488997555012225","45.5",
Nutech Global Ltd,NUTECGLOB,"Textiles","3.2037","4.934653465346536","1.4109589041095891","0.6240249609984663","29.983525535420103","1.8302315024965954","5.982001058761269","156.34266886326193","46.21087479935794","38.020833333333336","199.4283234126984",,"1.3013054830287207","0.3817351598173516","1.0366972477064251"
Oscar Global Ltd,OSCARGLO,"Apparel & Accessories","3.1944","2.433656957928803","65.99999999999999","600.0000000000018","0","1.8148148148148147","48.818897637795274","0","0","0","201.12244897959187",,"1.2512479201331117","65.99999999999999",
Kinetic Trust Ltd,KINETRU,"Investment Banking & Brokerage","3.192","2.8421052631578925","1.1028037383177571","4.54545454545454","1.038961038961039",,"1.0101010101010097","1.038961038961039","1392.4074074074074",,,,"0.05532786885245901","1.1028037383177571",
Hit Kit Global Solutions Ltd,HITKITGLO,"FMCG - Foods","3.182","-2.3428571428571425","0.40625",,"0",,,"1.6666666666666667","93.47560975609758","128.8235294117647","0",,"0.04122674710910005","0.40625",
Interactive Financial Services Ltd,IFINSER,"Investment Banking & Brokerage","3.1818336","0.9999999999999999","10.64","416.6666666666632","0",,"14.901477832512313","0","18.559322033898304",,,,"0.2712643678160919","10.64",
Vallabh Steels Ltd,VALLABHSQ,"Building Products - Pipes","3.1779","-0.06704707560627673","0.5966366073604679",,,"0.18264840182648398",,,"1679.38829787234","45.62500000000001","1998.3750000000002","5087.5758713327","0.02189610994642442","0.3928832561540336","-931"
Radhagobind Commercial Ltd,RCL,"Apparel & Accessories","3.168","0.016985138004246284","17.066666666666666",,"2.4390243902439024",,,"2.4390243902439024","45.625",,,,"0.007944389275074478","17.066666666666666",
Gopal Iron and Steels Company (Gujarat) Ltd,GOPAIST,"Iron & Steel","3.1666124","0.17333333333333328","1.5271317829457365",,"72.60273972602744",,,"72.60273972602744","3762.3076923076924","699.5833333333333","0",,"0.050387596899224806","1.5271317829457365",
BlueBlood Ventures Ltd,BVL,"Investment Banking & Brokerage","3.16386784159927","0.31701631701631705","9.821428571428571","0.021208907741251348","3345.1957295373663",,"0.020595201318092907","3345.1957295373663","960.8088235294117",,,,"0.006972928630024612","9.249999999999998",
Nippon India ETF Dividend Opportunities,DIVOPPBEES,"Equity","3.13730683",,,,,,,,,,,,,,
Shri Kalyan Holdings Ltd,SHKALYN,"Investment Banking & Brokerage","3.12380011187857","6.426229508196722","1.5999999999999996","3.9053254437869818","93.15849486887116",,"2.6132404181184663","93.15849486887116","0",,,,"0.10040983606557376","1.5999999999999996",
Continental Controls Ltd,CONTICON,"Electrical Components & Equipments","3.122298048","4.008791208791208","1.6262376237623763",,"77.61557177615572","2.2817460317460316","0.6034482758620572","118.00486618004867","96.25274122807019","144.7304347826087","159.96521739130435",,"0.7961588825840245","1.0420792079207923","0.1627906976744154"
Systematix Securities Ltd,SYTIXSE,"Diversified Financials","3.11","1.660377358490566","2.5172413793103448",,"0",,,"2.0361990950226243","0",,,,"0.04759329367225527","2.5172413793103448",
Containerway International Ltd,CONTAINER,"Logistics","3.10517","0","0.78125",,"17.073170731707318",,,"17.073170731707318",,,,,"0","0.78125",
Adline Chem Lab Ltd,ADLINE,"Pharmaceuticals","3.1005","-1.4785714285714286","0.22797927461139894","32.73542600896861","0","1.1076923076923075","14.13934426229509","49.81132075471699","145.47101449275362","349.79166666666663","329.5138888888889",,"0.3939105613701238","0.0932642487046632","69.00000000000003"
GB Global Ltd,GBGLOBAL,"Textiles","3.08229435","-1.7087395851799327","0.40723130262506196","410.21531188831864","10.862378388589779","9.258040388930443","228.77660566620386","46.14149428544441","2.493396218886415","131.36815317498787","39.42518985296494","-25.6541312642","2.486299331335939","0.36978702327885093","3449.5937500000005"
Inertia Steel Ltd,INERTIAST,,"3.071436","5.538461538461538","5",,"0",,,"0","65.90277777777779","0","0",,"1.7560975609756095","5",
Karnimata Cold Storage Ltd,KCSL,"Logistics","3.05273820557929","-7.069767441860469","1.0537142857142858","4.725897920604912","19.162436548223354","21.71428571428571","6.6088840736728045","127.28426395939088","48.026315789473685","0","16.80921052631579",,"0.26534768693628163","1.0514285714285716","1.7681159420289854"
Rajkot Investment Trust Ltd,RAJKOTINV,"Investment Banking & Brokerage","3.045","-0.09022556390977443","0.06588579795021962",,"180",,"0.19033117624666937","180","0",,,,"0.020220932409661115","0.06076134699853587",
