Name,Ticker,"Sub-Sector","Market Cap","1D Change in Put OI","Highest 1D OI Change CE Strike","1 D Change in Call OI","1D Change in Future OI","Highest 1D OI Change PE Strike","1D Change in Future Volume","Highest 1W OI Change CE Strike","1W Change in Future OI","1W Change in Call OI","Percentage Rollover","Rollover Cost","Put Call Ratio","Highest Put OI Strike","Put Open Interest","Call Open Interest","Future Volume","Future Open Interest","Lot Size","Future Close Price","Basis","Fair Value Spread","Fair Value","Calendar Spread","Highest Call OI Strike","Cash & Carry Profit","1W Change in Future Volume","1W Change in Put OI","Highest 1W OI Change PE Strike"
Rts Power Corporation Ltd,RTSPOWR,"Heavy Electrical Equipments","111.580645",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva Global Agro Industries Ltd,SHIVAAGRO,"Fertilizers & Agro Chemicals","111.571845",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diligent Industries Ltd,DILIGENT,,"111.27228",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG Petrochem Ltd,KGPETRO,"Textiles","111.181195",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prismx Global Ventures Ltd,PRISMX,,"111.07981588599999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCI Industries Ltd,TCIIND,"Commodities Trading","111.05859744000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya BSL Nifty Next 50 ETF,ABSLNN50ET,"Equity","110.88097020000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metroglobal Ltd,METROGLOBL,"Commodities Trading","110.824359375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRO-TEK Reality Ltd,MRO-TEK,"Communication & Networking","110.79968985999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atal Realtech Ltd,ATALREAL,"Construction & Engineering","110.71896",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surya Lakshmi Cotton Mills Ltd,SURYALAXMI,"Textiles","109.91692005",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindprakash Industries Ltd,HPIL,"Diversified Chemicals","109.71375775",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik Industries Ltd,ANIKINDS,"Commodities Trading","109.34873484",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Industries Ltd,VIRAT,"Apparel & Accessories","109.3473814",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadhna Broadcast Ltd,SADHNA,"TV Channels & Broadcasters","109.2893187",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Autofoundry Ltd,UNIAUTO,"Auto Parts","109.2315625",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Technology Enterprises Ltd,CTE,"IT Services & Consulting","109.16203012000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simbhaoli Sugars Ltd,SIMBHALS,"Sugar","108.7702177",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Industries Ltd,AMDIND,"Packaging","108.579633085",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKP Securities Ltd,LKPSEC,"Diversified Financials","108.5231852",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilcare Ltd,BI,"Labs & Life Sciences Services","108.425788755",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adcon Capital Services Ltd,ADCON,"Investment Banking & Brokerage","108.379572",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kritika Wires Ltd,KRITIKA,"Iron & Steel","108.2872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratnabhumi Developers Ltd,RATNABHUMI,"Real Estate","107.408",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangalam Seeds Ltd,MSL,"Seeds","107.33104445",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Sucrose Ltd,INDSUCR,"Sugar","106.77982764500001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortis Malar Hospitals Ltd,FORTISMLR,"Hospitals & Diagnostic Centres","106.45319112",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential Silver ETF,ICICISILVE,"Equity","105.953940543",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suvidhaa Infoserve Ltd,SUVIDHAA,"Online Services","105.7988319",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampre Nutritions Ltd,SAMPRE,,"105.7293",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor and General Finance Ltd,MOTOGENFIN,"Real Estate","105.7252287",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekansh Concepts Ltd,EKANSH,,"105.212458",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veeram Securities Ltd,VSL,"Precious Metals, Jewellery & Watches","104.838222258",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scandent Imaging Ltd,FAMILYCARE,,"104.782746",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyscoal Alloys Ltd,GAL,"Iron & Steel","104.69928294",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmark Property Development Co Ltd,LPDC,"Real Estate","104.6316648",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar Sponge Iron Ltd,BIHSPONG,"Iron & Steel","104.457856674",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarmat Ltd,TARMAT,"Construction & Engineering","104.38430295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASI Industries Ltd,ASIIL,"Mining - Diversified","104.30674578",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party Cruisers Ltd,PARTYCRUS,"Hotels, Resorts & Cruise Lines","104.104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touchwood Entertainment Ltd,TOUCHWOOD,"Advertising","103.95051145",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle Credit Ltd,ORACLECR,,"103.8196875",,,,,,,,,,,,,,,,,,,,,,,,,,,,
India Finsec Ltd,IFINSEC,"Diversified Financials","103.632825825",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halder Venture Ltd,HALDER,"Commodities Trading","103.3706935",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kcl Infra Projects Ltd,KCLINFRA,"Construction & Engineering","103.322844",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurangabad Distillery Ltd,AURDIS,"Alcoholic Beverages","103.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK Play India Ltd,OKPLA,"Industrial Machinery","103.14757755",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patdiam Jewellery Ltd,PJL,"Precious Metals, Jewellery & Watches","103.08996",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandani Creation Ltd,JAIPURKURT,"Apparel & Accessories","103.0486665",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharat Industries Ltd,SHINDL,"Packaged Foods & Meats","102.57825",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debock Industries Ltd,DIL,"Agricultural & Farm Machinery","102.4296",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNL Bearings Ltd,SNL,"Industrial Machinery","102.2788128",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS India Ltd,KBSINDIA,"Investment Banking & Brokerage","102.1797612",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prima Plastics Ltd,PRIMAPLA,"Housewares","101.9743569",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Enterprises Ltd,FELDVR,"Conglomerates","101.72925322500001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC Ferro Alloys Ltd,VBCFERROQ,"Metals - Iron","101.64497",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeal Aqua Ltd,ZEAL,"Packaged Foods & Meats","101.48313",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grob Tea Co Ltd,GROBTEA,"Tea & Coffee","101.1201",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrenik Ltd,SHRENIK,"Paper Products","100.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digicontent Ltd,DGCONTENT,"Online Services","100.95901254",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cords Cable Industries Ltd,CORDSCABLE,"Cables","100.2549339",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds Luxuries Ltd,LLOYDS,"Wellness Services","100.125",,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A.G. Films and Media Ltd,BAGFILMS,"Movies & TV Serials","99.94863545",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiberweb (India) Ltd,FIBERWEB,"Textiles","99.3313995",,,,,,,,,,,,,,,,,,,,,,,,,,,,
B & A Packaging India Ltd,BAPACK,"Paper Products","99.2844075",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnum Ventures Ltd,MAGNUM,"Paper Products","99.26897376000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamboli Capital Ltd,TAMBOLI,"Industrial Machinery","99.2496",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izmo Ltd,IZMO,"Software Services","99.16459806499999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonam Clock Ltd,SONAMCLOCK,"Precious Metals, Jewellery & Watches","98.87904",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshtrop Fruits Ltd,FRSHTRP*,"Agro Products","98.863963",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalibhadra Finance Ltd,SAHLIBHFI,"Diversified Financials","98.83323",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Consumer Marketing Ltd,ACML,"Retail - Speciality","98.77873725",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTV Engineering Ltd,GTV,"Construction & Engineering","98.51180808",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everest Organics Ltd,EVERESTO,"Pharmaceuticals","98.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Fincap Ltd,COMFINCAP,"Diversified Financials","97.9329825",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faze Three Autofab Ltd,FAZE3AUTO,,"97.5811837",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanishk Steel Industries Ltd,KANSHST,"Iron & Steel","97.53573382",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausom Enterprise Ltd,AUSOMENT,"Commodities Trading","97.34027904",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretex Corporate Services Ltd,GCSL,,"97.2429975",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC Industries Ltd,NTCIND,"FMCG - Tobacco","97.22416",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludlow Jute & Specialities Ltd,LUDLOWJUT,"Textiles","97.1196768",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishiroop Ltd,RISHIROOP,"Commodity Chemicals","96.85928371",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evexia Lifecare Ltd,EVEXIA,,"96.61599948",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Sensitive Systems India Ltd,PRESSURS,,"96.583662",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Efficient Marketing Ltd,SEML,,"96.525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarey Drugs and Pharmaceuticals Ltd,AAREYDRUGS,"Pharmaceuticals","96.33487577999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDowell Holdings Ltd,MCDHOLDING,"Asset Management","96.19677375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC MF G-SEC Long Term ETF,LICNETFGSC,"Debt","96.08053938",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDBI Gold Exchange Traded Fund,IDBIGOLD,"Gold","95.11848704",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shervani Industrial Syndicate Ltd,SHERVANI,"Real Estate","94.99480306",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooja Entertainment And Films Ltd,POOJAENT,,"94.9844975",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilak Ventures Ltd,TILAK,"Diversified Financials","94.810219145",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parvati Sweetners and Power Ltd,PARVATI,,"94.6889811",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lahoti Overseas Ltd,LAHOTIOV,"Textiles","94.6615175",,,,,,,,,,,,,,,,,,,,,,,,,,,,
B & A Ltd,BNALTD,"Agro Products","94.6585",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumit Woods Ltd,SUMIT,"Real Estate","94.51396596000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakthi Finance Ltd,SAKTHIFIN,"Consumer Finance","94.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja Bahadur International Ltd,RAJABAH,"Real Estate","93.875",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Plast International Ltd,TOKYOPLAST,"Housewares","93.541283",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryaman Financial Services Ltd,ARYAMAN,"Investment Banking & Brokerage","93.456",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Tim Metal & Industries Ltd,LATIMMETAL,,"93.3482151",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel City Securities Ltd,STEELCITY,"Investment Banking & Brokerage","93.286311625",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Brothers Ltd,BRIGHTBR,"Commodity Chemicals","93.2694587",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakoda Group of Industries Ltd,NGIL,"Packaged Foods & Meats","93.195765",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrotherm (India) Ltd,ELECTHERM,"Iron & Steel","92.76768592",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofil Chemicals and Pharmaceuticals Ltd,BIOFILCHEM,"Pharmaceuticals","92.597922",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebrity Fashions Ltd,CELEBRITY,"Apparel & Accessories","92.49338299",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivimed Labs Ltd,VIVIMEDLAB,"Specialty Chemicals","92.449015225",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Shadi Lal Enterprises Ltd,SSLEL,"Sugar","92.42625",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patel Integrated Logistics Ltd,PATINTLOG,"Logistics","92.364116635",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury Laboratories Ltd,MERCURYLAB,"Pharmaceuticals","92.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globesecure Technologies Ltd,GSTL,"IT Services & Consulting","92.08540839",,,,,,,,,,,,,,,,,,,,,,,,,,,,
National General Industries Limited,NATGENI,"Iron & Steel","91.940555875",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Development Company Ltd,ENERGYDEV,"Renewable Energy","91.675",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe International Carriers Ltd,GICL,"Logistics","91.24719",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anand Rayons Ltd,ARL,"Textiles","91.182027285",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanpoint Geomatics Ltd,SCANPGEOM,"IT Services & Consulting","90.96038718999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident Texofab Ltd,TTFL,"Textiles","90.933003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,"Equity","90.884969692",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunil Healthcare Ltd,SUNLOC,"Pharmaceuticals","90.80581125",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beardsell Ltd,BEARDSELL,"Building Products - Prefab Structures","90.66613248",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel Ltd,ACCEL,"Movies & TV Serials","90.56149357999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykis Ltd,LYKISLTD,"FMCG - Personal Products","90.48197385",,,,,,,,,,,,,,,,,,,,,,,,,,,,
S V Global Mill Ltd,SVGLOBAL,"Real Estate","90.41485",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Natural Foods and Herbal Supplements Ltd,SOURCENTRL,"Pharmaceuticals","90.31014193",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagarsoft (India) Ltd,SAGARSOFT,"IT Services & Consulting","90.25840056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhilwara Technical Textiles Ltd,BTTL,"Commodities Trading","90.186756225",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollex Agrotech Ltd,DOLLEX,"Sugar","89.8848",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latteys Industries Ltd,LATTEYS,"Industrial Machinery","89.693487",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj Oil Mills Ltd,ROML,"Packaged Foods & Meats","89.63233032000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kranti Industries Ltd,KRANTI,"Auto Parts","89.621964",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bansal Roofing Products Ltd,BRPL,,"89.579844",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeevan Scientific Technology Ltd,JSTL,"Labs & Life Sciences Services","89.20754095",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrant Televentures Ltd,QUADRANT,"Telecom Services","88.77773886",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitin Castings Ltd,NITINCAST,"Metals - Iron","88.430876",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset NYSE FANG+ ETF,MAFANG,"Equity","88.390709484",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreyas Intermediates Ltd,SHREYASI,"Specialty Chemicals","88.2131055",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDH Industries Ltd,BDH,"Pharmaceuticals","88.1730495",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanani Industries Ltd,KANANIIND,"Precious Metals, Jewellery & Watches","88.05126",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akashdeep Metal Industries Ltd,AKASHDEEP,"Diversified Financials","88.01196397999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidel Softech Ltd,FIDEL,"IT Services & Consulting","88.003584",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalyani Forge Ltd,KALYANIFRG,"Iron & Steel","87.93046",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agro Phos India Ltd,AGROPHOS,"Fertilizers & Agro Chemicals","87.888288525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baba Arts Ltd,BABA,"Movies & TV Serials","87.675",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Polyplast Ltd,CPL,"Industrial Machinery","87.65946",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banka BioLoo Ltd,BANKA,"Business Support Services","87.53191674",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homesfy Realty Ltd,HOMESFY,"Real Estate","87.4551",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL Ltd,CHLLTD,"Hotels, Resorts & Cruise Lines","87.43517255",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josts Engineering Company Ltd,JOSTS,"Industrial Machinery","87.36355645",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Eastern Hotels Ltd,BESTEAST,,"87.19875",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danlaw Technologies India Ltd,DANLAW,"IT Services & Consulting","87.126015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya BSL Banking ETF,ABSLBANETF,"Equity","86.96789971",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahmaputra Infrastructure Ltd,BRAHMINFRA,"Construction & Engineering","86.765016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Manufacturing Ltd,DELTAMAGNT,"Industrial Machinery","86.7004488",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gennex Laboratories Ltd,GENNEX,"Pharmaceuticals","86.678042128",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prakash Steelage Ltd,PRAKASHSTL,"Building Products - Pipes","86.62519305",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Township Ltd,PHOENIXTN,"Hotels, Resorts & Cruise Lines","86.4227268",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential Liquid ETF,ICICILIQ,"Debt","86.396236029",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemang Resources Ltd,HEMANG,,"86.196",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growington Ventures India Ltd,GROWINGTON,,"86.08964407",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhandari Hosiery Exports Ltd,BHANDARI,"Apparel & Accessories","85.71826575",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishal Bearings Ltd,VISHALBL,"Industrial Machinery","85.410765",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra Bhagat Pharma Ltd,CBPL,,"85.2591328",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seya Industries Ltd,SEYAIND,"Specialty Chemicals","85.025728",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren Tea Ltd,WARRENTEA,"Agro Products","84.8507084",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Intech Ltd,COMFINTE,"Consumer Finance","84.7835912",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPS Finquest Ltd,SPS,"Diversified Financials","84.44808225",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautam Gems Ltd,GGLPP,,"84.4401067",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganga Papers India Ltd,GANGAPA,"Paper Products","84.26119966",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savera Industries Ltd,SAVERA,"Hotels, Resorts & Cruise Lines","84.21168",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divyashakti Ltd,DIVSHKT,"Building Products - Granite","84.204734",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Eco Energy Ltd,REALECO,,"84.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naysaa Securities Ltd,NAYSAA,"Investment Banking & Brokerage","84.17953125",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tara Chand Logistic Solutions Ltd,TARACHAND,"Business Support Services","84.0530768",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeP Solutions Ltd,WEPSOLN,"IT Services & Consulting","83.78239816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flomic Global Logistics Ltd,FLOMIC,,"83.772",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympia Industries Ltd,OLYMPTX,,"83.727623",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golkunda Diamonds and Jewellery Ltd,GOLKUNDIA,,"83.6734212",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archies Ltd,ARCHIES,"Retail - Speciality","83.2677",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazoor Multi Projects Ltd,HAZOOR,"Real Estate","83.17925",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candour Techtex Ltd,CANDOUR,,"83.077275015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB (International) Stock Brokers Ltd,DBSTOCKBRO,"Investment Banking & Brokerage","82.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCON Consultancy & Engineering Services Ltd,MITCON,"Education Services","82.74370779",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trejhara Solutions Ltd,TREJHARA,"IT Services & Consulting","82.59592302",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kothari Fermentation and Biochem Ltd,KFBL,"Agro Products","82.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilachal Refractories Ltd,NILACHAL,"Cement","82.4638725",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhav Copper Ltd,MCL,"Metals - Copper","82.378398",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnax Lab Ltd,PARNAXLAB,"Pharmaceuticals","82.23701056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Rama Multi-Tech Ltd,SHREERAMA,"Plastic Products","82.191066475",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjani Foods Ltd,ANJANIFOODS,,"82.169766",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohia Securities Ltd,LOHIASEC,"Investment Banking & Brokerage","82.11984",,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Oxygen Ltd,NOL,"Commodity Chemicals","82.1188341",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Leasing Finance and Investment Co Ltd,EMERALD,,"81.990728",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Metal & Power Ltd,ANKITMETAL,"Iron & Steel","81.84409",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemp and Company Ltd,KEMP,"Retail - Speciality","81.841353",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenith Steel Pipes & Industries Ltd,ZENITHSTL,"Building Products - Pipes","81.8112576",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Industrial Enterprises Ltd,SIEL,"Packaging","81.715",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garnet International Ltd,GARNETINT,"Textiles","81.48525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Technologies Ltd,AAATECH,"IT Services & Consulting","81.257778",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva Mills Ltd,SHIVAMILLS,"Textiles","81.2329952",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POCL Enterprises Ltd,POEL,"Commodity Chemicals","81.10280363999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Combustion (India) Ltd,INTLCOMBQ,"Industrial Machinery","81.06621054",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorchips New Media Ltd,COLORCHIPS,,"80.967124",,,,,,,,,,,,,,,,,,,,,,,,,,,,
India Steel Works Ltd,ISWL,"Iron & Steel","80.810427775",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTN Industries Ltd,GTNINDS,"Textiles","80.77344069",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odyssey Technologies Ltd,ODYSSEY,"Software Services","80.4717525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saboo Sodium Chloro Ltd,SABOOSOD,"Packaged Foods & Meats","80.00154805",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmarc Leisure Corporation Ltd,LANDMARC,"Hotels, Resorts & Cruise Lines","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena Global Technologies Ltd,ATHENAGLO,"IT Services & Consulting","79.9425",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akar Auto Industries Ltd,AAIL,"Auto Parts","79.831274",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gayatri BioOrganics Ltd,GAYATRIBI,,"79.81238784600001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysore Petro Chemicals Ltd,MYSORPETRO,"Commodity Chemicals","79.79187456",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century Extrusions Ltd,CENTEXT,"Metals - Aluminium","79.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNally Bharat Engg Co Ltd,MBECL,"Construction & Engineering","79.33905",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindusthan National Glass And Industries Ltd,HINDNATGLS,"Packaging","79.254905025",,,,,,,,,,,,,,,,,,,,,,,,,,,,
