Name,Ticker,"Sub-Sector","Market Cap","1D Change in Put OI","Highest 1D OI Change CE Strike","1 D Change in Call OI","1D Change in Future OI","Highest 1D OI Change PE Strike","1D Change in Future Volume","Highest 1W OI Change CE Strike","1W Change in Future OI","1W Change in Call OI","Percentage Rollover","Rollover Cost","Put Call Ratio","Highest Put OI Strike","Put Open Interest","Call Open Interest","Future Volume","Future Open Interest","Lot Size","Future Close Price","Basis","Fair Value Spread","Fair Value","Calendar Spread","Highest Call OI Strike","Cash & Carry Profit","1W Change in Future Volume","1W Change in Put OI","Highest 1W OI Change PE Strike"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","12679.95313167",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrol India Ltd,CASTROLIND,"Commodity Chemicals","12660.7665152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Health Ltd,MEDANTA,"Hospitals & Diagnostic Centres","12623.46239574",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Energy Exchange Ltd,IEX,"Power Trading & Consultancy","12587.188312035001","-0.52420598211532","140","0.0452574014708655","-1.68791524510684","130","-18.7745483110762","167.5","8.09468438538206","52.405828979928515","7.2010000000000005","0.17700000000000002","0.5819953093992423","140","12097500","20786250","3877500","41062500","3750","141.15","0.7","0.409009253350348","140.74099074664966","0.25","150","522.40345","-0.7466927976482116","38.09931506849315","147.5"
Happiest Minds Technologies Ltd,HAPPSTMNDS,"IT Services & Consulting","12579.976106760001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suven Pharmaceuticals Ltd,SUVENPHAR,"Pharmaceuticals","12500.41216438",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jindal Stainless Ltd,JSL,"Iron & Steel","12488.39979702",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asahi India Glass Ltd,ASAHIINDIA,"Auto Parts","12384.216534795",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEC International Ltd,KEC,"Construction & Engineering","12340.24176",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","12255.97385586","5.3173241852487","445","0.1257334450963956","-0.88079859072225","410","-40.85850556438791","430","18.08832131019692","60.45400238948626","3.096","0.734","0.4571854058078928","400","890300","1947350","1078800","4895200","1450","436","1.65","0.7054838833259396","435.29451611667406","3.2","440","-121.76334","-0.3998164065759826","88.34355828220859","425"
Sheela Foam Ltd,SFL,"Home Furnishing","12245.94829224",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Institute of Medical Sciences Ltd,KIMS,"Hospitals & Diagnostic Centres","12237.04891017",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Renuka Sugars Ltd,RENUKA,"Sugar","12111.10680837",,,,,,,,,,,,,,,,,,,,,,,,,,,,
