Name,Ticker,"Sub-Sector","Market Cap","PS Premium vs Sector","Forward PS Ratio","PS Premium vs Sub-sector","PS Ratio","Price / CFO","Price / Sales","Forward PE Ratio","PE Premium vs Sector","PE Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PB Premium vs Sub-sector","Price / Free Cash Flow","Sector PB","Sector PE","Sector Dividend Yield","EV/EBITDA Ratio","EV / EBIT Ratio","EV / Free Cash Flow","EV / Revenue Ratio","EV / Invested Capital","Enterprise Value","Dividend Yield vs Sub-sector","Dividend Yield vs Sector","Dividend Yield","PE Ratio"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","50972","699.4350057434519","15.139572582204307","294.62375251530665","25.802989728818535","97.32309924771833","25.802989728818535","53.91949152542372","122.18417728851348","373.5678308161145","27.056925069537336","300.7864445243136","584.801940864333","101.57224558117291","6.750958132241903","-346.1968189828221","0.7292787809264867","51.968922121004695","54.796004708181584","98.33427654783493","24.980429577357842","24.790805510062597","49347.090000000004","0.3133009042122282","-0.17995758497576864","0.549321195950718","76.80091609034338"
PI Industries Ltd,PIIND,"Diversified Chemicals","50480.47769355","458.35826884432083","7.52162416120386","139.0550204253587","9.34045289916736","95.48038148959711","9.34045289916736","43.60941644562334","336.1582228544321","46.1356845578457","8.24790498881609","209.9035553764768","62.088459309641785","263.4680464172755","2.661442518397821","13.71639143169999","2.279245572413523","38.68314816957597","46.09790814356954","253.2979002794885","8.97990150680914","7.539869450735625","48531.87769355","-0.3428665125651068","-2.098706837512358","0.1805387349011651","59.82516910826027"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","50239.04576229","-44.75667640308427","1.7898511906103935","0","1.7830629145785197","5.507942569211288","1.7830629145785197","11.486817903126916","102.27702383023883","0","2.268077278720119","-66.4036239850458","0","8.608325039373897","6.750958132241903","-346.1968189828221","0.7292787809264867","4.383870628827673","6.710459015576041","11.537284447197614","2.389745268521811","1.607888571449142","67332.74576229","0","5.171371997805332","5.900650778731819","7.882984067767648"
Bosch Ltd,BOSCHLTD,"Auto Parts","50158.9487388","138.7307794462885",,"113.39129057208511","4.118884259784197","186.25677214556256","4.118884259784197",,"-70.40580261372341","-30.759513784996944","4.696618732448173","-17.556299180284334","6.266081972924991",,"5.696758740511342","139.11937419034422","0.614726513338826","25.586395088662226","31.013964376504422",,"3.8934905105027178","4.40951098224632","47414.1487388","0.7089920419305339","0.6200809448982219","1.2348074582370479","41.171262200443195"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","49420.65615924","28.496079253880907","3.2775730556585505","-56.74256081727233","2.5640794033919905",,"2.5640794033919905","8.916322314049587","-20.330404581444512","-43.403200174293126","1.89392824932533","-19.703316664206405","-54.00286101915825",,"2.358663111158764","22.79666898588442","0.8987054277845777","40.14298249459649","41.67405399992678",,"7.674062007106899","1.0494622986683735","147911.63615924","0.5746660592935509","0.1960583168664406","1.0947637446510183","18.162013949961434"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","48943.47448428","16.305403871183355","1.8186923132394013","-14.298160296839354","2.0066473977254415",,"2.0066473977254415","32.942122186495176","-53.51481316756255","186.28751465114792","9.686003883681215","70.02657695157716","237.10074814649803",,"5.696758740511342","139.11937419034422","0.614726513338826","23.185970421976272","31.76785590718524",,"2.6140489164209098","3.053531259933085","63758.40448428","-2.5701777954205474","-0.25071952440463846","0.36400698893418754","64.66990101249927"
Info Edge (India) Ltd,NAUKRI,"Online Services","47962.937783745","-3.503087940282938","21.86340467194987","-52.36639217752067","3.1145856922090123","67.86407892995402","3.1145856922090123","72.93146078528336","101.08579291818862","-76.82147098381151","2.6571248957100813","-60.64077359597421","-32.749036299403976","93.12106897011029","6.750958132241903","-346.1968189828221","0.7292787809264867","3.3687985286480853","3.3794442955334185","93.24565639681785","3.118752721442505","2.6512693396846","48027.107783745","0.11281155162015993","-0.38044693756783693","0.34883184335864975","3.758980543509729"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","47184.12164346","599.8923923685468","9.029204417682678","137.27624320887364","12.07542556999066","144.33367484463614","12.07542556999066","64.01680607781445","-36.78703599322848","40.61434083523709","43.34305969342838","660.8372000239893","261.5504273390048","206.0891969576763","5.696758740511342","139.11937419034422","0.614726513338826","58.19219117838711","63.324121936824845","205.3311275101987","12.031007855112671","39.223516844350996","47010.56164346","0.18679466159556002","0.2599180145776997","0.8746445279165257","87.94147993338808"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","46971.90081053","135.07902560308986","8.626023222053647","159.0934804398936","9.400998465025378","49.56619548206108","9.400998465025378","50.08535217586361","67.0772087993155","79.46046618645313","16.65794290019115","287.02211286918924","339.9074037552407","51.983643920948666","4.304132075735273","35.19956037429971","0.9002797474416026","38.09187746090321","40.38329023646058","49.108966246339605","8.881126475144502","14.933424021204923","44374.37081053","0.12134476360920776","0.3437742399776188","1.2440539874192214","58.81044298300984"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","46932.001811379996","866.606424400783","20.06675272915051","48.60097880625524","19.288180918699656","37.433898695396934","19.288180918699656","32.32026638413804","47.776726177702486","53.00173365588187","8.486738217332968","259.8113769271443","394.1647170102659","37.74185911650985","2.358663111158764","22.79666898588442","0.8987054277845777","24.57857035700891","25.291966113858205","37.7353693698271","19.284864298610884","8.48527891504944","46923.931811379996","-0.3605821787506287","1.0099494001089875","1.9086548278935653","33.688171104907646"
Zomato Ltd,ZOMATO,"Online Services","46851.6992498","189.7175125694599","6.135006057453145","43.01276671420919","9.35107663209788",,"9.35107663209788","-46.04166666666667","88.80346217418065","-339.0136024367816","2.8396862366460796","-57.93654499079144","-28.128468356873",,"6.750958132241903","-346.1968189828221","0.7292787809264867",,,,"8.723669091631242","2.637918502389977","43708.19924980001",,,,"-38.762057789195005"
JSW Energy Ltd,JSWENERGY,"Power Generation","46103.7783536","53.40742609846619","4.720913838340236","211.0858318355812","5.27238962094511","15.617652379413487","5.27238962094511","32.04597701149426","0.7783838448681908","90.07644267704717","2.6470623090137426","-24.17925812114985","57.01568859586174","70.07079207489816","3.491211301049177","26.464859690537352","1.5970281603857173","12.667398661820497","17.419175091901646","79.82544281354488","6.0063661864649065","1.9925221866095482","52521.9483536","-1.5731818514561127","-0.8857324841726778","0.7112956762130395","26.67085788293553"
ACC Ltd,ACC,"Cement","45823.84791726","67.33511901255184","2.1802513550066434","13.575356308684368","2.7992525314406875","16.160821557212333","2.7992525314406875","23.017816310975608","79.32513270486633","-5.529047761531005","3.2017378147326263","20.30084409488058","33.43848838505507","27.602566014263942","2.661442518397821","13.71639143169999","2.279245572413523","12.15463548406544","15.00549313442406","23.148228100967998","2.347525808887339","2.6617056882272596","38429.06791726","1.6304860980405587","0.1050359701857686","2.384281542599292","24.596937137214923"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","45803.07231808","121.39122762769917","11.560473029613636","48.72775620129864","11.668859055262862","79.92160585950096","11.668859055262862","78.10612813370473","62.76167336800426","55.96952069788602","62.09996653616605","573.2366879843388","365.50644762605236","87.52736923004011","9.224091266043816","48.87744741507376","1.423352309122852","52.87800695154585","56.367442025233025","86.315540451137","11.507302054926576","60.81964037604857","45168.922318079996","0.014726289615247579","-0.28942886312949967","1.1339234459933523","79.5537513123404"
Trent Ltd,TRENT,"Retail - Apparel","45498.840133390004","463.68254560195766","5.7916183635137255","74.71878979472761","9.72536163950051","778.0239420894324","9.72536163950051","106.6794871794872","209.03232844703683","101.72800672262684","18.879656810289887","231.41050323986946","36.510941631086034",,"5.696758740511342","139.11937419034422","0.614726513338826","66.48650403463745","113.87754009400088",,"10.614260978372812","6.959404668814208","49657.44013339001","0.04877451296489582","-0.481903636551577","0.132822876787249","429.92384138136674"
Container Corporation of India Ltd,CONCOR,"Logistics","45145.66471506","91.22448546007853","5.275150156175496","152.6238947735715","5.614189746132179","32.96699676874881","5.614189746132179","34.575117370892016","-22.114156294334528","2.716234297913145","4.156592419181271","-17.9431944985075","15.016021986999114","77.56054205690036","5.06550601595826","54.935827136266845","0.5805016216087817","21.330071240363985","29.54735417657189","73.97676347356845","5.354779323752852","3.7146202201753975","43059.654715059994","0.42560495153151234","0.6341552378284274","1.2146568594372091","42.78723246176735"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","44664.46548489","702.2172624894571","8.099000759790528","39.697775321469216","13.840863180938953","66.50159386103957","13.840863180938953","55.31687316160086","-229.60252245138258","-8.965895531783154","5.834480538203796","2.4175466079171253","10.162275344332695","126.30996149681853","5.696758740511342","139.11937419034422","0.614726513338826","81.75953553227458","277.64376613694805","133.07051691097539","14.581675080536105","4.076456341121516","47055.06548489001","0.05032848799133398","-0.48751512203890857","0.12721139129991746","-180.30221816926382"
United Breweries Ltd,UBL,"Alcoholic Beverages","44439.895418175","43.68052799061887","5.645631847955661","16.925981656769427","7.57296415071921","49.39851872810187","7.57296415071921","72.06739130434782","148.78526884642656","47.957088944096895","11.281280092752194","22.302346836933456","2.1136302431762943","61.20607574775849","9.224091266043816","48.87744741507376","1.423352309122852","59.94424005475544","85.5113613333625","59.972310408328404","7.420311647323808","11.026613172493038","43544.095418175","0.3594350343910391","-0.7986312024740344","0.6247211066488175","121.59988895686203"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","43894.58228415","569.3482953899012","8.27200005000134","0","11.548440316700475",,"11.548440316700475","528.448275862069","667.8690512806695","0","32.622764644263924","472.65483988770256","0",,"5.696758740511342","139.11937419034422","0.614726513338826","231.51228751583508","467.40427271348506",,"11.635579975361162","22.8185601135877","44225.79228415",,,,"1068.2546187430007"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","43757.58492897","-38.69493073996277","2.665920594340165","-32.4323226096314","2.4516388075598234","20.79634282066917","2.4516388075598234","20.412322274881515","-72.29673224211164","-70.24344982510176","2.296527985439649","-46.64364510591059","-39.352675790813485","48.53864107484193","4.304132075735273","35.19956037429971","0.9002797474416026","7.86194417923799","8.937703410027252","51.66121456347199","2.609356909563936","2.000996142977997","46572.58492897","-0.5378148554040549","-0.3153853790356439","0.5848943684059587","9.751428460091816"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","43586.80941222","-44.54833152772967","1.342695567187475","-53.895237221099606","1.6280142566153424","15.322865192585144","1.6280142566153424","48.127035830618894","-321.24680905937527","-220.74537386909788","5.074039297547424","0.16845862115810875","-18.926729269588492","18.660014989134527","5.06550601595826","54.935827136266845","0.5805016216087817","25.741308900387324","39.093496946449775","27.94071058472327","2.4377191121432458","1.9937275253174107","65265.02941222001","0.019432311437895033","0.09298820606761515","0.6734898276763969","-121.54376456936477"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","43426.5612448","77.83717954645334","5.858706004050181","-40.13217350033515","3.5486580748619407",,"3.5486580748619407","11.902647499583727","-52.57313887092906","-66.30824404740909","2.2691393122965433","-3.7955313939784885","-44.890247900480574",,"2.358663111158764","22.79666898588442","0.8987054277845777","16.06377367984263","16.271615961908843",,"7.193679999346269","1.1943637432899403","88032.37124479999","1.3282884382297786","0.9496806958026683","1.848386123587246","10.81174454198939"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","42983.26884522","-66.41817797936426","1.108389468806004","20.6383674009918","1.7699958222224237","59.351940521699504","1.7699958222224237","46.40118577075099","9.064519620554341","62.18851398920618","6.769903600820264","-26.606281252420274","69.6378474766957","62.86125485568457","9.224091266043816","48.87744741507376","1.423352309122852","28.33310536640715","31.03672218050233","65.03876809093568","1.8313084596821252","4.507216442589306","44472.208845220004",,,,"53.30795322603925"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42799.35715","5.648998755849179",,"139.18353612383288","2.108176555049848",,"2.108176555049848",,"-69.17091157381263","50.93719694061125","1.0439799540641914","-55.73848808144097","54.10809684824121",,"2.358663111158764","22.79666898588442","0.8987054277845777","70.59686102801683","70.75949642455437",,"21.226698740493354","1.0034921060820403","430935.94714999996","-4.73833429344679","3.376103732520765","4.274809160305343","7.028005239883541"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","42711.835188","163.14089074471718","7.24133339177172","136.61720610706794","10.523214921578191","57.06400244225039","10.523214921578191","40.125","100.54864285457892","46.524601064453485","6.79857368009716","57.954578541499856","0.4159459141351422","228.18589159098184","4.304132075735273","35.19956037429971","0.9002797474416026","40.65068497959259","51.354424649606415","230.39804032482093","10.62523225666573","5.993163446708867","43125.905188",,,,"70.5922406214362"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","42396.83538071","207.2368370915318","7.282695914682951","3.4294499283653854","6.1307679621353435","6.1902407921632125","6.1307679621353435","30.014388489208628","64.6087016069947","16.937028303908885","5.642371434255476","139.21904775470423","37.034200284743285","6.456544574149965","2.358663111158764","22.79666898588442","0.8987054277845777","22.875197042277467","25.080344264136286","5.5537015027373835","5.273479467727195","4.853377275344323","36468.32538071","-0.445823266483441","-0.8244310089105513","0.07427441887402647","37.52530082730879"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","42251.22655605","334.7472847122136","6.1605107916831585","288.6021080843552","7.500808032120279","90.92738191845827","7.500808032120279","49.69408502772643","-51.725452250657746","12.946234504871104","11.564051092750576","102.99351999085334","161.64917174802542","149.80579547599632","5.696758740511342","139.11937419034422","0.614726513338826","39.12955705501601","48.22444289897879","145.00161876347326","7.260261882630408","11.010280762565388","40896.25655605","-0.407435008264045","-0.49634610529635703","0.11838040804246898","67.15924872210384"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","42088.05202085","179.33297302056414","4.140652176531551","203.33844378783863","4.819404470934519","46.35043832964407","4.819404470934519","30.671289875173375","-78.9232172257599","-22.86046690991281","6.07067522199593","6.563670650567605","107.87078108192459",,"5.696758740511342","139.11937419034422","0.614726513338826","17.933278850470188","22.033844851041923",,"5.024642280448733","4.6377359031083545","43880.40202085001","0.5239747770579894","0.6713585060672784","1.2860850194061044","29.3218882949811"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","41476.44925683","53.515274485100726","7.733069848866811","3.1295709475477884","8.091323761974156","25.512507769943348","8.091323761974156","38.494923857868024","-21.305316600098294","-24.58929797555536","23.910144382151174","159.21409158396327","79.23240533598482","26.315874155719815","9.224091266043816","48.87744741507376","1.423352309122852","25.627929441546296","28.83934501154146","25.88972099284944","7.960294741521721","22.448212472055808","40804.78925683","1.5038396645012686","1.1996845117565214","2.6230368208793733","38.463952497245735"
Power Finance Corporation Ltd,PFC,"Specialized Finance","41422.87729152","-72.80941670099838",,"-38.442011383806154","0.5425754233748624","25.37435744088406","0.5425754233748624",,"-87.0347088280697","-36.52278393844074","0.4302551311685309","-81.75851696950672","-36.48747836062786","27.39028597884046","2.358663111158764","22.79666898588442","0.8987054277845777","30.738944983600383","30.784654634654895","475.9664404964029","9.428440913835788","0.9511889092717275","719813.5672915201","-1.3649598973467798","6.749478128620774","7.648183556405352","2.9556545115210455"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","41369.042397059995","127.58283982528435","5.676094151874558","94.47527790011965","6.681640390709768","85.37092409315282","6.681640390709768","71.05263157894737","-17.478352479497488","-41.315752181454926","41.207919432080544","713.5005526054063","848.0430693763348","100.60075481995038","5.06550601595826","54.935827136266845","0.5805016216087817","33.827251038081705","36.892406529383315","100.20753464583434","6.655523729830653","30.059701934609915","41207.34239706",,,,"45.333949631862694"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","40957.831957040005","125.99225036169234","3.3199131032831906","343.4182995465782","3.780493793795269","80.9683344015815","3.780493793795269","42.0048309178744","176.03628313221907","515.3373163114334","6.1806722979314195","132.23016297388085","277.4379060654126",,"2.661442518397821","13.71639143169999","2.279245572413523","19.581763086376498","28.862297820159412",,"4.105088887569585","3.530175463594526","44474.49195704001","-2.153643944777191","-1.4832243602996331","0.7960212121138901","37.86221708793082"
Astral Ltd,ASTRAL,"Building Products - Pipes","40494.201772395005","211.42493494007567","7.978723717606694","299.25374050410056","9.143173648624943","74.5612258744154","9.143173648624943","83.41093117408907","52.360121622717784","187.49087657521815","17.126629069698442","238.10302496420067","251.38114051710397","205.45003436019786","5.06550601595826","54.935827136266845","0.5805016216087817","50.71483162805408","60.44527029391447","202.8335960040335","9.026733900606247","16.233606112151296","39978.50177239501","-0.35120080549080845","-0.4316597436066629","0.14884187800211882","83.70029303926216"
