Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
PCBL Ltd,PCBL,"Commodity Chemicals","4867.38027858","188.73","-33.58000000000004","-367.97","-15.779999999999973","290.42","216.7","306.2","2622.2299999999996","2162.49","1105.1","4784.719999999999","303.2","-540.7","944.74","610.95","37.75","489.09000000000003","276.27000000000004",,"257.99","0","2270.7599999999998","1574.51","37.744561818282","785.82",,"2622.2299999999996","603.91","8.51","1965.2899999999997","146.63","629.77","72.66","2109.34",,"587.98","2513.96","8.24"
JSW Holdings Ltd,JSWHL,"Asset Management","4862.19312153","0","-0.7699999999999818","124.96000000000001","130.24","130.24","0","0","19954.34","2801.9799999999964","3.27","22756.319999999996","0","-131.01","0.16","0","11.09","0.32","2800.3",,"22119.12","0","18.259999999999998","1.6799999999998363","1.1094021","0",,"19954.34","0","-3.637978807091713e-12","19943.25","618.93","1.5199999999998364","14.67","0.010000000000000009","0","2800.2999999999965","22738.059999999998","0"
Kennametal India Ltd,KENNAMET,"Industrial Machinery","4850.048112","52.7","-65.4","-139.9","-15.899999999999999","49.1","-52.6","65","646.3","183.50000000000009","136.8","829.8000000000001","0","-61.9","104.4","0.1","22","64.4",,"2.2","0","0","478.6000000000001","175.89999999999998","2.197824","0",,"646.3","266.6","7.600000000000113","624.1999999999999","57.2","71.49999999999997","10.8","291.8",,"7.600000000000113","351.2","0"
Karnataka Bank Ltd,KTKBANK,"Private Banks","4830.83298093","55.96","-878.81","-2294.6000000000004","-524.06","-467.46","-354.92","56.6","7093.990000000005","85035.52999999998",,"92129.51999999999","2313.84","-56.43",,"1255.97","311.17","4436.76",,,"22040",,"4436.76","80386.74","31.117366",,"80386.74","7093.99",,"2334.9499999999853","5526.849999999999","8051.4",,,"818.22","56783.14","4648.789999999985","87692.76","0"
Paradeep Phosphates Ltd,PARADEEP,"Fertilizers & Agro Chemicals","4821.84","0","446.30999999999995","-776.3900000000001","-664.1","-43.88","1588.97","620.22","2225","5703.17","902.48","7928.17","528.1699999999998","-1098.78","2291.23","0","575.45","1148.0700000000002","92.18",,"2.89","0","5133.26","5053.43","57.545","2954.3",,"2225","2293.22","29.390000000000256","1649.55","1195.13","2762.2000000000003","789.49","1596.8899999999999",,"649.7400000000001","2794.91","0"
Rolex Rings Ltd,ROLEXRINGS,"Industrial Machinery","4811.853897280001","0","-0.8599999999999994","-178.62999999999997","-10.660000000000004","58.88","8.04","69.54","544.8","440.61","230.54","985.41","20.490000000000006","-67.78","121.1","216.71","27.23","19.91","60.78",,"0","0","538.18","338.06","2.7233312","222.92",,"544.8","261.68","21.28","300.86","21.58","216.96","26.05","425.65000000000003",,"102.55000000000001","447.23",
Gujarat Pipavav Port Ltd,GPPL,"Ports","4807.80990495","193.27","-5.969999999999999","-27.93","329.21","380.32","-219.84","51.11","2243.49","489.31","52","2732.7999999999997","34.71","-166.45","55.29","1428.89","483.44","855.78","145.07",,"294.07","0","938.18","252.97","48.343991","47.08",,"2243.49","10.18","56.56","331.15999999999985","43.31","197.68","20.22","1457.24",,"236.34","1794.62","0"
Syrma SGS Technology Ltd,SYRMA,"Electronic Equipments","4801.28618872","0","-3.920000000000016","-150.12","-103.11","-12.63","382.12","90.48","582.8999999999999","571.2","272.23","1154.1","25.790000000000006","-373.41","240.45","252.49","137.62","73.21","12.26",,"4.71","118.185","701.25","522.9","13.7617853","218.3",,"582.9","291.3","10.250000000000018","181.95","29.41","282.45","64.51","300.545",,"48.300000000000026","452.85","10.84"
VRL Logistics Ltd,VRLLOG,"Logistics","4770.54873","106","-4.670000000000016","-42.440000000000005","177.45999999999998","370.76","-195.3","193.3","651.6300000000001","728.6600000000001","67.26","1380.2900000000002","379.5","-180.13","20.13","113.64","88.34","14.49","38.62",,"0.05","0","171.09","265.17","8.8343495","536.6",,"651.63","45.86","45.36999999999999","449.65","76.18","245.04000000000002","43.48","1132.9700000000003",,"463.49","1209.2000000000003",
Engineers India Ltd,ENGINERSIN,"Construction & Engineering","4766.11932304","146.13","-39.22999999999999","-323.93","22.58","48.33","-148.82","25.75","1770.0400000000004","2407.39","385.98","4177.43","1.3000000000000003","61.26","330.72","0","281.02","1467.97",,"340.11","1002.51","0","2431.05","2393.5","56.2044973","3.72",,"1770.04","2.32","12.59","1489.02","134.53","2062.7799999999997","574.78","269.23",,"13.89","1746.38","0"
