Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
BCPL Railway Infrastructure Ltd,BCPL,"Construction & Engineering","78.85195317","1.17","-1.65","-5.720000000000001","0.35000000000000053","5.07","-3.1","4.72","77.97","25.15000000000001","19.76","103.12","0.8799999999999999","-3.62","5.1","10","16.72","7.58",,"0.7000000000000001","3.97","0","61.970000000000006","23.04","1.6723638","2.41",,"77.97","28.35","1.230000000000009","50.38","32.46","17.939999999999998","6.279999999999999","4.02",,"2.110000000000009","41.150000000000006","0.87"
Super Tannery Ltd,SUPTANERY,"Textiles","78.8205528","0.54","0.42999999999999794","5.0699999999999985","8.819999999999999","20.4","-8.81","11.58","86.57","145.55","49.76","232.12","0.5400000000000063","-11.16","41.04","2.7","10.8","8.62","7.15",,"0.4","0.4528","145.72","132.87","10.797336","77.49000000000001",,"86.57000000000001","67.67","4.990000000000009","72.42","3.76","91.83000000000001","19.67","81.78720000000001",,"12.680000000000016","86.40000000000002","0.65"
Mohini Health & Hygiene Ltd,MHHL,"Health Care Equipment & Supplies","78.779088","0","0.010000000000000231","-21.289999999999996","-18.24","-4.71","-2.9","13.53","83.95","73.32000000000001","40.7","157.27","5.110000000000001","7.62","11.25","21.46","18.24","1.09","4.09",,"0","0","100.44000000000001","63.79","1.82359","43.78",,"83.95","27.23","0.3300000000000091","43.60999999999999","3.69","52.54","31.42","53.14",,"9.53000000000001","56.83","0.64"
Katare Spinning Mills Ltd,KATRSPG,"Textiles","78.67425","0","0.00999999999999801","11.99","4.77","4.77","-29.3","0","125.05999999999997","4.690000000000019","1.65","129.75","0.029999999999999916","24.54","0.25","0","2.85","0.09","0.5",,"0","0","4.16","3.69","0.285","0.57",,"125.05999999999999","1.73","0.47000000000001935","122.21","0.61","3.44","0.69","124.98",,"1.0000000000000193","125.59",
Dutron Polymers Ltd,DUTRON,"Building Products - Pipes","78.6","0.84","-1.2400000000000002","-4.65","0.9100000000000001","1.1","-2.18","0.19","23.039999999999996","19.850000000000005","18.33","42.89","13.36","-0.16","3","3","6","1.77","0.39",,"0","0","31.4","5.36","0.6","13.649999999999999",,"23.04","11.23","0.740000000000004","14.04","3.32","2.3600000000000003","0.07","8.17",,"14.490000000000004","11.49",
Banas Finance Ltd,BANASFN,,"78.55558605","0","9.690000000000001","16.96","19.69","19.69","-4.42","0","162.05","26.599999999999973","0","188.64999999999998","0","-5.58","0.02","52.41","25.65","11.3","19.68",,"138.69","0","21.86","6.92","3.00338933681","6.9",,"162.05","0","-2.842170943040401e-14","83.99000000000001","0","6.9","10.56","0.03","28.07","19.67999999999997","166.79","0"
Galaxy Cloud Kitchens Ltd,GCKL,"Hotels, Resorts & Cruise Lines","78.19155276000001","0","-3.11","-10.799999999999999","-2.9299999999999997","-1.2","-0.23","1.73","1.1899999999999977","28.3","5.99","29.49","4.62","-1.68","18.13","77.18","44.94","0.13",,,"0","0","9.59","22.919999999999998","4.4937674","5.11",,"1.1899999999999977","2.24","0.7600000000000036","-120.93","3.88","4.789999999999999","1.23","16.02",,"5.3800000000000034","19.9",
Advik Capital Ltd,ADVIKCA,,"77.94842112","0","0.16000000000000014","-2.55","-1.7","-1.68","1.86","0.02","10.850000000000001","5.859999999999999","1.02","16.71","1.3300000000000003","-0.02","0.54","3.57","4.59","0.27",,"0.01","0","0","7.41","4.529999999999999","4.58736","4.69",,"10.85","3.6","0","2.69","0","3.9899999999999993","2.52","1.9800000000000002","7.31","1.3300000000000003","9.299999999999999","0"
Inditrade Capital Ltd,INDICAP,"Consumer Finance","77.893345845","0","27.5","-115.33999999999999","-111.39","-81.42","128.22","29.97","214.40999999999997","441.36","8.88","655.77","370.63","-19.3","9.11","49.74","23.29","86.96",,"6.03","11.39","1.9074","174.63","70.75","2.3286501","385.13",,"214.41000000000003","21.89","-0.01999999999998181","66.93","98.54","61.64","56.9","32.2726","331","370.61","481.14","74.45"
Dhruv Consultancy Services Ltd,DHRUV,"Construction & Engineering","77.84172","0","-1.7000000000000002","-6.299999999999997","-2.5800000000000005","3.65","0.69","6.23","45.84","39.120000000000005","7.38","84.96000000000001","1.7400000000000002","-6.04","7.69","16.58","14.3","4.24",,"1.4","0.07","0","71.18","35.9","1.4296","12.02",,"45.84","0","1.480000000000009","14.96","5.58","28.209999999999997","59.56","6.7299999999999995",,"3.2200000000000095","13.78",
Global Vectra Helicorp Ltd,GLOBALVECT,"Airlines","77.84","0","19.409999999999997","12.97","30.790000000000003","59.59","-94.94","28.8","40.42999999999995","628.8700000000001","33.83","669.3000000000001","184.33000000000004","54.76","134.46","44.12","14","32.07","36.03999999999999",,"0","0","188.26","392.49","1.4","319.59000000000003",,"40.43","24.1","16.010000000000115","-17.689999999999998","126.53","258.03","98.25999999999999","354.51000000000005",,"236.38000000000014","481.0400000000001",
Samrat Forgings Ltd,SAMRATFORG,,"77.5","0","0.009999999999999343","-1.4599999999999995","3.7199999999999998","11.27","-3.94","7.55","23.450000000000003","81.45","18.5","104.9","17.95","-7.32","26.25","0","5","0.82","2.4400000000000004",,"0","0","69.66","59.92999999999999","0.5","48.87",,"23.45","47.76","1.130000000000009","18.45","1.28","33.67999999999999","2.58","33.96000000000001",,"21.52000000000001","35.24000000000001",
Power and Instrumentation (Gujarat) Ltd,PIGL,"Power Infrastructure","77.291819","0","0.6600000000000001","-14.460000000000003","-4.83","-4.47","5.58","0.36","37.66","60.129999999999995","56.62","97.78999999999999","4.86","-0.45","28.06","5.29","8.58","6.92",,"0.15","0.27","0","89.00999999999999","55.269999999999996","0.85839","28.47",,"37.660000000000004","16.93","0","22.12","7.59","27.209999999999997","8.54","0.77",,"4.86","8.78",
Western India Plywoods Ltd,WIPL,"Wood Products","77.234794","0.68","0.0800000000000003","-2.01","0.6400000000000001","2.18","-1.18","1.54","38.41","27.910000000000014","19.53","66.32000000000001","13.450000000000001","-0.92","4.07","4.42","8.49","3.59","0.7699999999999999",,"0.78","2.8011","43.68000000000001","13.16","0.848734","17.540000000000003",,"38.41","16.58","0.5300000000000142","25.42","0.95","9.09","3.9800000000000004","18.1089",,"14.750000000000014","22.639999999999997","0.08"
Kesar Enterprises Ltd,KESARENT,"Sugar","77.1095673","0","0.9799999999999969","37.739999999999995","22.09","51.61","-26.76","29.52","104.79999999999995","518.74","19.1","623.54","0.8200000000000003","-23.87","206.11","8.01","10.08","33.11",,,"3.3","0","156.85999999999999","498.83","1.0079682","96.69000000000001",,"104.8","101.05","19.08999999999999","86.71","5.75","292.71999999999997","3.6","457.63",,"19.90999999999999","466.68",
Motilal Oswal Midcap 100 ETF,MOM100,"Equity","77.05321196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visagar Financial Services Ltd,VISAGAR,"Diversified Financials","76.7439963","0","0.06","-0.3500000000000001","-0.12","-0.12","0","0","11.94","1.6699999999999997","0.15","13.61","0","0.18","0","2.75","9.75","0.09",,,"4.55","0","2.6600000000000006","1.6500000000000001","19.350624651","1.62",,"11.94","2.24","0.019999999999999574","-0.56","0.05","1.6500000000000001","0.18","0","6.35","0.019999999999999574","10.95",
Morarjee Textiles Ltd,MORARJEE,"Textiles","76.604781","0","11.85","10.339999999999998","17.55","17.85","-5.9","0.3","-93.33000000000004","720.3000000000001","20.94","626.97","155.78000000000003","-0.1","76.79","0","25.43","18.33",,"30.410000000000004","0.5","0","184.45999999999998","544.35","3.6332349","525.4100000000001",,"-93.33000000000001","66.44","20.17","-118.76","1.84","467.56","78.75","409.76",,"175.95000000000005","442.51","0"
Sambhaav Media Ltd,SAMBHAAV,"Publishing","76.4444","0","-0.33999999999999897","-0.26","7.760000000000001","9.22","-7.81","1.46","85.21","21.41000000000001","18.99","106.62","5.7","-1.75","4.14","29.95","19.11","1","1.27",,"2.17","15.3717","40.15","14.04","19.111084","15",,"85.21","1.38","0.40000000000000907","36.14999999999999","12.26","9.899999999999999","18.78","36.6683",,"7.37000000000001","66.47000000000001","0"
Nitiraj Engineers Ltd,NITIRAJ,"Electronic Equipments","76.26744","0","-1.2800000000000002","-0.78","-3.46","1.45","2.96","4.91","67.7","9.530000000000005","8.25","77.23","0.09","-5.69","0.99","17.76","10.25","1.26",,"0.85","1.49","0","32.4","8.76","1.0251","3.9699999999999998",,"67.7","15.46","0.6800000000000052","39.69","4.58","7.77","7.43","37.910000000000004",,"0.7700000000000051","44.830000000000005","0"
K G Denim Ltd,KGDENIM,"Textiles","76.14434025","0","-3.710000000000001","-11.670000000000005","14.780000000000001","20.76","-21.87","5.98","69.42000000000002","410.71","76.82","480.13","71.12","-2.6","161.78","4.44","25.65","4.5","1.95",,"3.29","0","309.76","319.83","2.5649025","224.91000000000003",,"69.42","170.53","17.81","43.25","2.5","158.04999999999998","57.91","164.58",,"90.88000000000001","170.37","-3.92"
Flexituff Ventures International Ltd,FLEXITUFF,"Packaging","76.14138636","0","2.710000000000008","36.64000000000001","73.63000000000001","76.43","-71.24","2.8","47.35000000000002","950.3000000000001","230.39","997.6500000000001","25.210000000000036","-2.48","226.74","205.51","24.88","13.16",,"74","0","22.533","477.71","919.55","2.4882806","624.3800000000001",,"47.35000000000001","122.55","5.540000000000114","-180.45999999999998","13.55","692.81","111.61","409.85699999999997",,"30.75000000000015","519.94","-2.58"
Angel Fibers Ltd,ANGEL,"Textiles","76.125","0","0","-12.88","10.2","13.53","-8.78","3.33","31.109999999999985","73.95000000000002","10.72","105.06","53.089999999999996","-4.75","3.49","0","25","0.01",,"0.99","0","0","43.14","20.72","2.5","68.12",,"31.11","24.48","0.14000000000001422","6.11","2.41","17.229999999999997","7.93","58.519999999999996",,"53.23000000000001","61.919999999999995",
KPT Industries Ltd,KPT,"Industrial Machinery","76.109","0.17","0.67","-11.29","-2.92","-1.08","0.38","1.84","35.800000000000004","51.76","25.92","87.56","10.870000000000001","1.37","7.41","3.11","1.7","3.06","0.29000000000000004",,"0.41","0","63.300000000000004","39.489999999999995","0.34","33.830000000000005",,"35.800000000000004","31.89","1.1100000000000052","30.990000000000002","1.37","32.08","2.4299999999999997","22.479999999999993",,"12.270000000000005","24.259999999999994",
Global Capital Markets Ltd,GLOBALCA,"Diversified Financials","76.0496425","0","-0.02999999999999997","-0.8899999999999997","-0.8099999999999999","-0.58","0.19","0.23","51.59","3.669999999999998","2.27","55.26","0.02","0.36","3.3","11.95","24.89","0.39",,"8.46","10.45","0","16.18","3.64","2.48935","0.02",,"51.59","9.39","0.00999999999999801","14.75","0","0.3400000000000003","4.129999999999999","0.48999999999999977","19.68","0.02999999999999801","39.08",
P B M Polytex Ltd,PBMPOLY,"Textiles","76.013171","1.06","-2.2300000000000004","-28.65","-2.75","4.27","-1.99","7.02","125.70999999999998","32.39999999999999","14.03","158.10999999999999","0.26999999999999996","-4.51","13.75","0","6.88","6.01","4.52",,"1.48","0","103.35999999999999","26.72","0.687902","0.6499999999999999",,"125.71","73.41","0.8899999999999909","118.83","2.36","12.969999999999999","9.91","50.910000000000004",,"5.67999999999999","54.75","0"
Giriraj Civil Developers Ltd,GIRIRAJ,"Construction & Engineering","75.944381","0","0.3300000000000003","-11.420000000000002","-5.59","-5.3","1.95","0.29","34.150000000000006","50.120000000000005","9.74","84.27000000000001","0","3.68","21.84","3.12","3.24","2.73","0.01",,"22.73","0","49.71","44.17","0.32441","17.880000000000003",,"34.15","26.36","5.94","27.79","11.04","22.330000000000002","10.88","0.79",,"5.95","34.56",
Goblin India Ltd,GOBLIN,,"75.92697852","0","-0.05000000000000071","-8.03","-7.45","-7.44","7.13","0.01","24.299999999999997","34.37","20.24","58.669999999999995","21.529999999999998","0.26","5.1","12.28","10.44","0.23",,"0.13","0","0","54.169999999999995","12.84","1.0443876","27.529999999999998",,"24.299999999999997","17.83","0","1.58","0.43","7.74","15.87","3.94",,"21.529999999999998","4.5","0"
Punj Lloyd Ltd,PUNJLLOYD,"Construction & Engineering","75.509042625","0","-250.65999999999997","258.36","452.58","487.64","-690.93","35.06","-2026.7800000000007","12944.910000000002","1847.73","10918.130000000001","987.57","-47.37","2744.86","2507.16","67.12","578.97",,"1204.2400000000002","29.73","0","8093.34","11931.3","33.5595745","7693.4400000000005",,"-2026.7800000000007","4940.81","26.040000000001818","-4605.27","574.31","9186.439999999999","725.8299999999999","1016.5099999999998",,"1013.6100000000018","2824.79","4.21"
Vippy Spin Pro Ltd,VIPPYSP,"Textiles","75.4882","0","-0.15000000000000036","-24.240000000000002","-11.16","-6.79","10.38","4.37","60.379999999999995","20.84","21.52","81.22","0.3000000000000007","-3.74","1.61","0","5.87","0.01","1.04",,"0.23","0","60.39","19.5","0.587","13.71",,"60.379999999999995","37.31","0","54.51","6.52","17.89","1.55","14.080000000000002",,"1.3400000000000007","20.830000000000002",
National Plastic Technologies Ltd,NATPLASTI,"Plastic Products","75.371292","0","0.48","-9.81","-3.8299999999999996","3.02","4.02","6.85","29.409999999999997","86.5","25.86","115.91","16.429999999999993","-6.56","12.44","0.16","6.08","0.91","5.069999999999999",,"0","0.0346","64.36","58.21000000000001","0.607833","57.8",,"29.409999999999997","32.34","6.789999999999995","23.169999999999998","0.44","45.77000000000001","5.25","51.0754",,"28.28999999999999","51.55",
Tree House Education and Accessories Ltd,TREEHOUSE,"Education Services","75.1015351","0","-0.21000000000000085","-12.35","2.42","3.09","-19.79","0.67","256.65","29.500000000000057","25.08","286.15000000000003","0","16.49","2.32","460.28","42.31","0.01",,"10.05","12.74","13.4668207","32.370000000000005","29.46","4.2310724","19.87",,"256.65","0.46","0.040000000000056844","-245.93999999999997","151.86","27.14","6.82","65.6631793",,"0.040000000000056844","253.78000000000003","0"
Aro Granite Industries Ltd,AROGRANITE,"Building Products - Granite","74.97","0","-0.3999999999999986","-48.26","-24.669999999999998","-18.15","23.94","6.52","196.42000000000002","254.95999999999998","73.08","451.38","65.32000000000002","-6.19","36.83","4.07","15.3","9.83","11.5",,"0.89","0","278.16","175.53999999999996","1.53","199.3",,"196.42000000000002","177.31","2.5999999999999908","177.05","1.85","138.70999999999998","17.939999999999998","170.48000000000002",,"79.42000000000002","173.22",
Tayo Rolls Ltd,TATAYODOGA,"Iron & Steel","74.956130175","0","-0.02","-0.02","-0.02","-0.02","0","0","-147.71999999999997","197.55999999999997","0","49.84","0","0","33.47","55.42","343.23","0.02",,,"0","0","15.989999999999998","197.55","1.0260935","95.33",,"-147.71999999999997","7.64","0.009999999999962483","-546.37","5.3","164.08","8.33","28.550000000000004",,"0.009999999999962483","33.85",
Kotak PSU Bank ETF,KOTAKPSUBK,"Equity","74.910257103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIM Teknoforge Ltd,HIMTEK,"Auto Parts","74.64834","0.31","-0.1599999999999966","-12.43","15.580000000000002","25.67","-16.93","10.09","162.77","209.14999999999995","60.2","371.91999999999996","43.19000000000001","-8.9","41.75","30.23","1.57","2.19","1.2700000000000014",,"0.01","0","214.47000000000003","160.15","0.7866016","150.61",,"162.77","146.78","4.539999999999934","130.97","4.89","118.4","5.300000000000001","152.54999999999998",,"48.99999999999995","157.44999999999996",
Medico Intercontinental Ltd,MIL,"Pharmaceuticals","74.6","0","1.3499999999999999","-1.3800000000000003","3.64","3.85","-1.2","0.21","12.64","19.299999999999997","17.14","31.939999999999998","6.24","-1.3","8.37","0.6","3.25","1.87","0.010000000000000002",,"0.01","1.1362","28.27","13.05","0.3249","8.73",,"12.64","7.88","-3.552713678800501e-15","8.790000000000001","1.31","4.6800000000000015","1.38","1.2138",,"6.2499999999999964","3.67","0"
Virat Crane Industries Ltd,VIRATCRA,"Agro Products","74.5466875","0","-1.9900000000000002","-4.280000000000001","-2.2199999999999998","4.05","0.21","6.27","58.03","12.340000000000002","9.03","70.37","0","-6.25","7.02","0","20.42","1.05",,"0.03","4.12","9.994295","25.16","12.100000000000001","2.042375","3.37",,"58.03","13.53","0.24","37.61","15.35","5.080000000000002","1.55","15.715705000000002",,"0.24","45.21",
Invesco India Gold Exchange Traded Fund,IVZINGOLD,"Gold","74.215319455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreeshay Engineers Ltd,SHREESHAY,"Real Estate","74.13706854","0","0.9699999999999998","3.22","4.35","4.35","-3.38","0","22.479999999999997","3.7800000000000065","23.46","26.26","3.42","0","0.06","6.17","13.2","1.09",,,"0","0","26.26","0.34","1.3203396","3.42",,"22.479999999999997","0.36","0.02000000000000668","3.1099999999999994","0","0.28","1.35","0",,"3.4400000000000066","0",
Bengal Tea & Fabrics Ltd,BENGALT,"Textiles","74.0291967","0.9","13.850000000000001","4.05","2.3600000000000003","6.61","-20.96","4.25","115.03","10.149999999999997","0.06","125.17999999999999","0","28.2","1.75","3.02","9.01","23.04",,"10.3","1","0","65.55","9.530000000000001","0.9005985","0.88",,"115.03","25.01","0.6199999999999949","103","0.46","7.780000000000001","17.44","47.87",,"0.6199999999999949","59.629999999999995",
HKG Ltd,HKG,,"73.8675","0","3.59","-2.64","-1.42","-1.17","13.97","0.25","18.07","0.29","0.33","18.36","0.09999999999999999","-9.21","0.05","7.32","10.5","11.83",,"0.01","1","0","17.02","0.19","5.25","0.12",,"18.07","3.49","0","0.25","0","0.14","1.3699999999999999","0.32999999999999996",,"0.09999999999999999","1.34",
Geekay Wires Ltd,GEEKAYWIRE,"Iron & Steel","73.84338","2.19","4.97","-25.64999999999999","-12.46","-8.1","12.19","4.36","52.00999999999999","148.44","61.45","200.45","26.439999999999998","0.88","7.7","13.43","10.45","9.85","3.77",,"0","0","152.95999999999998","118.22999999999999","1.0452","108.58",,"52.010000000000005","64.09","0","28.130000000000003","1.78","110.52999999999999","17.57","45.71",,"30.209999999999997","47.49",
East West Holdings Ltd,EASTWEST,"Investment Banking & Brokerage","73.607123928","0","4.26","-14.450000000000001","-3.5200000000000005","-2.45","13.31","1.07","72.93","79.32999999999998","62.4","152.26","41.41","-6.6","5.49","44.33","24.1","15.21","0.51",,"0.77","25.4974","94.02","35.24","12.0475","69.09",,"72.93","0","2.169999999999981","2.3999999999999986","1.1","29.75","16.41","30.872600000000006",,"44.089999999999975","58.24000000000001","-0.04"
Apoorva Leasing Finance and Investment Company Ltd,APOORVA,"Diversified Financials","73.307883","0","0.03000000000000071","22.85","30.240000000000002","30.3","-0.02","0.06","146.48999999999998","3.0899999999999905","0.01","149.57999999999998","0","-30.25","0.04","99.89","19.97","18.68",,"0.03","20.26","0","75.1","3.0799999999999996","1.99749","0.05",,"146.48999999999998","0.93","0.009999999999990905","23.739999999999995","14.28","3.0399999999999996","55.48","39.910000000000004","0","0.009999999999990905","74.48","2.89"
Amrapali Industries Ltd,AMRAPLIN,"Commodities Trading","73.2600537","0","-0.4399999999999995","-9.819999999999997","-4.109999999999999","-4.1","1.31","0.01","29.75999999999999","134.76999999999998","1.75","164.52999999999997","0","2.35","9.69","0","25.71","9.17","3.26",,"1.94","3.6455","124.97999999999999","131.42","5.1410564","81.38",,"29.76","18.9","0.08999999999998068","4.05","12.46","121.72999999999999","95.16","21.5045",,"3.3499999999999805","39.55",
Godavari Drugs Ltd,GODAVARI,"Pharmaceuticals","73.121155","0","0.6400000000000006","-0.060000000000001164","5.98","11.23","-5.62","5.25","29.63000000000001","71.78999999999999","55.58","101.42","11.78","-4.97","43.57","10.63","7.53","2.28","1.51",,"0","0","74.34","57.76","0.75305","23.07",,"29.630000000000003","10.03","0.739999999999996","11.47","0.34","14.189999999999998","6.45","26.74",,"14.029999999999996","27.08",
KLK Electrical Ltd,EDVENSWA,,"73.0032","0","1.2199999999999989","-15.52","-15.99","-14.23","16.99","1.76","18.86","5.850000000000001","10.86","24.71","0","-1.54","0","9","8.65","1.22",,,"0.05","1.9167874","22.35","4.6","0.865","0.04",,"18.86","0","1.2500000000000016","0.46000000000000085","0","4.6","10.27","0.3932126",,"1.2500000000000016","2.36","0"
Makers Laboratories Ltd,MAKERSL,"Pharmaceuticals","72.95814924","0.63","-2.959999999999999","-12.4","-1.3900000000000006","8.5","0.33","9.89","98.08999999999999","46.230000000000004","13.55","144.32","4.629999999999999","-11.79","7.08","1.09","4.92","8.67","8.17",,"0.22","0.1702","62.900000000000006","33.01","0.491698","23",,"98.08999999999999","23.84","0.4200000000000091","53.56999999999999","3.52","25.93","16.84","77.50980000000001",,"13.220000000000008","81.42","38.51"
Ai Champdany Industries Ltd,AICHAMP,"Textiles","72.88657947","0","8.830000000000002","1.5600000000000003","-1.04","-0.74","-10.32","0.3","90.75","224.57","15.07","315.32","6.309999999999997","19.89","36.57","37.55","34.83","4.92","2.09",,"0.9","0.0316","227.74","85.98","3.0753831","44.559999999999995",,"90.75","150.88","130.19","16.810000000000002","5.46","49.410000000000004","56.87","81.1884",,"138.59","87.58","1.56"
JBF Industries Ltd,JBFIND,"Textiles","72.86594561","0","120.61999999999998","1021.8599999999999","177.51","186.17","-56.46","8.66","-978.3100000000004","3567.3800000000006","361.11","2589.07","21.260000000000034","-9.09","101.35","807.93","81.87","140.49",,,"396.72","0","947.11","3533.5","8.1871849","2583.4",,"-978.3100000000002","264.25","12.620000000000454","-1868.1100000000001","99.39","3432.15","181.26","1145.8500000000001",,"33.880000000000486","1641.9600000000003",
Peria Karamalai Tea and Produce Company Ltd,PKTEA,"Tea & Coffee","72.81507408","0.46","1.9399999999999977","38.44","33.12","34.22","-7.41","1.1","185.65999999999997","62.020000000000024","3.08","247.68","8.920000000000002","-24.87","5","2.8","3.1","3.08","2.5",,"113.79","0","96.46","48.64","0.3095879","51",,"185.66","7.5","1.9600000000000182","179.76","3.92","43.64","82.8","33.50999999999999",,"13.38000000000002","151.22","0"
Blue Cloud Softech Solutions Ltd,BLUECLOUDS,"Software Services","72.5678992","0","0.009999999999999787","-8.53","-8.5","-8.5","6.6","0","11.42","0.36","0.9","11.78","0","1.91","0.09","0","11.04","0.02",,,"0","0","11.78","0.36","5.52008","0.21",,"11.42","0","0","0.38","0","0.27","10.86","0",,"0","0",
Arihant Academy Ltd,ARIHANTACA,"Education Services","72.51102","0","2.54","-1.3900000000000001","1.49","1.79","0.75","0.3","4.930000000000001","6.1099999999999985","0","11.04","0.08000000000000007","0","0.16","0","0.01","3.09",,"0.24","0","0","6.06","6.04","0.442","1.28",,"4.93","0","-0.010000000000001563","4.92","2.07","5.88","2.9699999999999998","2.67",,"0.06999999999999851","4.98","0"
COSCO India Ltd,COSCO,"Theme Parks & Gaming","71.86047","0","0.6699999999999995","-3.0900000000000007","4.449999999999999","5.18","-3.78","0.73","45.84","63.879999999999995","22.08","109.72","15.599999999999998","-0.73","4.45","3.12","4.16","2.94",,"0.6599999999999999","0","0","98.99","47.33","0.4161","51.54",,"45.84","68.86","0.9499999999999948","38.56","2.45","42.879999999999995","5.109999999999999","7.62",,"16.549999999999994","10.73",
Saptarishi Agro Industries Ltd,SPTRSHI,"Agro Products","71.78650862","0","1.3877787807814457e-16","0.34999999999999964","0.9","0.9","0.23","0","4.710000000000001","24.4","24.32","29.11","0.49","-1.13","23.79","-30.43","34.04","0.02",,,"0","0","26.13","23.92","3.4057842","0.49",,"4.710000000000001","1.59","-0.010000000000001563","1.1000000000000014","1.33","0.13000000000000256","0.2","1.65",,"0.47999999999999843","2.98",
Keynote Financial Services Ltd,KEYFINSERV,"Investment Banking & Brokerage","71.692332885","0.56","8.790000000000001","-15.2","-13.01","-12.64","-0.49","0.37","101.15000000000002","38.25999999999998","1.54","139.41","0.129999999999999","21.92","3.15","23.96","6.17","21.56","3.6",,"62.39","0.1042","38.37","34.54","0.55666","27.11",,"101.15","0.15","-0.010000000000019327","71.02000000000001","0","31.39","15.12","16.315800000000003","22.23","3.7199999999999798","101.03999999999999","0"
Yash Chemex Ltd,YASHCHEM,"Commodities Trading","71.60154075","0","-0.16000000000000014","-7.960000000000001","-3.46","-3.46","3.69","0","34.61","33.64","39.97","68.25","0.8700000000000001","-0.39","20.66","1.63","10.24","1.07","0.8300000000000001",,"10.47","0.1368","53.83","31.729999999999997","1.0243425","10",,"34.61","9.4","0.21000000000000513","13.82","2.94","11.069999999999997","3.39","0.8731999999999998",,"1.9100000000000052","14.42","8.92"
Gala Global Products Ltd,GGPL,"Business Support Services","71.34662448099999","0","-3","-16.68","-13.85","-13.78","10.83","0.07","42.25999999999999","46.88000000000001","35.3","89.14","0.3699999999999992","-0.05","27.59","3.4","27.29","0.82",,"0.15","0","13","73.16","46.51","5.4588083","19.13",,"42.26","17.01","1.4210854715202004e-14","11.57","0.9","18.919999999999998","20.03","1.9299999999999997",,"0.37000000000001343","15.98",
Veerkrupa Jewellers Ltd,VEERKRUPA,,"71.1615256","0","0.07999999999999996","-0.3599999999999999","-0.34","-0.33","0.42","0.01","4.91","5.26","0.33","10.17","0","-0.01","4.81","0.03","4.86","0.12",,,"0","0","10.12","5.25","0.4863152","0.42",,"4.91","9.4","0.009999999999999787","0.020000000000000004","0","0.4400000000000004","0.27","0.05",,"0.009999999999999787","0.05",
Bhagwati Autocast Ltd,BGWTATO,"Iron & Steel","71.1528948","0.29","-0.03999999999999915","5.9399999999999995","-12.399999999999999","7.48","12.23","19.88","27.009999999999998","37.070000000000014","21.14","64.08000000000001","10.799999999999999","-19.75","16.08","2.5","2.88","0.22","0.69",,"0","0","29.880000000000003","25.2","0.2880684","18.4",,"27.009999999999998","6.35","0.3800000000000142","21.63","0.34","9.120000000000001","2.17","33.86",,"11.870000000000013","34.2",
Relicab Cable Manufacturing Ltd,RELICAB,"Cables","70.96547386","0","0.31000000000000005","-1.74","-0.47","0.03","0.67","0.5","9.469999999999999","22.980000000000004","6.41","32.45","7.38","-0.39","10.88","4.59","5.8","3.47",,"0.03","0","0","27.52","15.53","1.00954744142","11.96",,"9.47","15.9","0.07000000000000313","-0.9199999999999999","3.96","4.649999999999999","1.74","0.94",,"7.450000000000003","4.930000000000001",
Aryaman Capital Markets Ltd,ARYACAPM,"Diversified Financials","70.78481466000001","0","8.309999999999999","7.0200000000000005","9.43","9.43","0.25","0","18.229999999999997","31.57","0.06","49.8","30.65","-1.37","0.09","1.02","11.98","20.87","0.37",,"6.45","0","42.17999999999999","0.55","1.1977126","30.65",,"18.23","20.59","0","5.23","0.07","0.4600000000000001","0.66","1.1","0","31.02","7.620000000000001",
Mirae Asset Nifty Financial Services ETF,MAFSETF,"Equity","70.75370617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shradha Infraprojects Ltd,SHRADHA,"Real Estate","70.6197546","0","-0.31","-1.18","-2.08","-0.75","-0.01","1.33","60.00999999999999","158.12","0.41","218.13","6.17","0.45","1.19","12.08","10.12","10.41",,"0.04","0.7","0.0014399999999999999","204.16","135.01","1.0124696","129.28",,"60.010000000000005","192.72","16.94","37.870000000000005","0.01","133.82","0.62","13.218559999999998",,"23.11","13.969999999999997","-0.06"
